Distance from 5'-end,HP0.4.4_3
0,32.381236131724734
1,32.66532820972506
2,33.00511748541535
3,32.98561740459361
4,32.852346034591704
5,34.62814286344066
6,34.87627661606736
7,34.82980779121541
8,34.80908068948289
9,34.89801766322317
10,34.24650629674803
11,35.54194280760018
12,37.37041704016106
13,37.344620211312105
14,37.34831964262098
15,37.29208975621225
16,37.32211135765823
17,37.27606133635068
18,37.278474967303936
19,37.230544003761885
20,37.288816475878384
21,37.27439346960368
22,37.77609072607309
23,37.687995033136914
24,37.849925056207844
25,37.96317835153047
26,37.86772420684487
27,37.88955342316792
28,37.930728424270036
29,37.91982483725441
30,37.98149549602504
31,37.88938443226404
32,37.99639241157367
33,37.970239232340454
34,37.8759423079749
35,37.86672128256749
36,37.66594906761106
37,37.74698020602195
38,37.70506678814419
39,37.64691922234795
40,37.680485959060114
41,37.68597081600564
42,37.7307827952565
43,37.83719930640255
44,37.79961352515026
45,37.80919090094194
46,37.951973519860104
47,37.927499228519785
48,37.89175030491837
49,37.851637007538464
50,37.78831317688204
51,37.802398201348986
52,37.76912168814565
53,37.76141055972727
54,37.74949670100366
55,37.831218497891285
56,37.69198468795462
57,37.72783647558449
58,37.77696874403021
59,37.79463564091637
60,37.63645648116854
61,37.68514055634745
62,37.67658079969435
63,37.774345711304754
64,37.775594774507354
65,37.68841383668131
66,37.90939883322802
67,37.9371353837563
68,37.81862132812156
69,37.82587324212723
70,37.76069418524342
71,37.75497421051858
72,37.875005510572954
73,37.90881838621034
74,37.88295910420126
75,37.55351501080072
