Distance from 5'-end,HP4.0.4_1
0,32.87549272862161
1,32.93122357589138
2,33.17514323766279
3,33.22460380596548
4,33.21498610080714
5,35.48191317250195
6,34.263508138401995
7,34.32229144506914
8,34.15522850988139
9,34.22677136498118
10,34.16331328155027
11,35.5829035458584
12,37.35198923818122
13,37.270663317750746
14,37.376654719021786
15,37.29776450923782
16,37.279346961395106
17,37.247682722990426
18,37.34686754203277
19,37.24187724018341
20,37.243602349008285
21,37.21895027574926
22,37.576749465931336
23,37.47520938173172
24,37.851260759584186
25,37.92572199826595
26,37.81822447866854
27,37.816964166003736
28,37.89217176005792
29,37.919210382831146
30,37.92660242945377
31,37.83030470963648
32,37.90597263065688
33,37.9117691750762
34,37.845571475817195
35,37.812713962655415
36,37.444519427585654
37,37.523280030748055
38,37.51393047722052
39,37.31101119979978
40,37.395362764464544
41,37.42247289433932
42,37.69627358617053
43,37.75249604476345
44,37.58496384422178
45,37.64271029791646
46,37.833446552910786
47,37.79527516826515
48,37.72097035136802
49,37.665132243445925
50,37.71942847949087
51,37.66393003030113
52,37.722789313263675
53,37.643005264710354
54,37.59068888153955
55,37.732974606040564
56,37.36544598085398
57,37.51586563815619
58,37.62047605852856
59,37.3673096346881
60,37.20080087953735
61,37.25391724840673
62,37.31384466869866
63,37.39064329576231
64,37.43252858049465
65,37.30719003906076
66,37.70270475611609
67,37.709350447366305
68,37.69870929681704
69,37.6202123760916
70,37.41412890942732
71,37.35875112847145
72,37.61587725806019
73,37.68881897083404
74,37.69609034922281
75,37.32643885695898
