Distance from 5'-end,HP0.6.4.GC_1
0,31.58792094473841
1,31.841366763616826
2,31.852384623471284
3,31.807895597528354
4,31.776579528331638
5,33.76437899335366
6,33.75271869269136
7,33.86501734590181
8,33.79421744869234
9,33.92524033126584
10,33.112135122823
11,34.36157152702339
12,36.176922358108186
13,36.05598287603229
14,36.06387905759774
15,35.91928607305136
16,36.1898879816846
17,35.77205032063637
18,35.98351847309341
19,35.78843840160727
20,35.921543376435274
21,35.77281832942028
22,36.33566656153999
23,36.17625071544545
24,36.35120778871874
25,36.31999392601418
26,36.35890247748537
27,36.24815152258471
28,36.31269346228873
29,36.15700961325064
30,36.317196388314585
31,36.2078821646751
32,36.410522596395325
33,36.291113291516275
34,36.13206830897899
35,36.033059419934354
36,36.16865239279999
37,36.19823971218652
38,36.016592493955216
39,36.07636869093925
40,36.14249045099345
41,36.163109880739626
42,36.08063216175491
43,35.92467965565173
44,36.19108525773557
45,36.2318276856946
46,36.38750569436171
47,36.13662963871465
48,36.25109214937333
49,36.28219212484377
50,36.29172945065471
51,36.24305871908984
52,36.2363481328334
53,36.28793320951747
54,36.25576444615762
55,36.18259043814463
56,36.14448785786873
57,36.19014203782224
58,36.141961897419726
59,36.22538283631776
60,36.16839833666234
61,36.26489294599993
62,36.178972328322295
63,36.14171368165306
64,36.33100302531217
65,36.168751679106656
66,36.352758407214026
67,36.34849201621287
68,36.30537839763582
69,36.26067327796662
70,36.13987104460875
71,36.09074768429291
72,36.36089112380419
73,36.323068881335345
74,36.399951524920866
75,35.68083832685052
