Base index,HP0.0.4_2#TOP,HP0.0.4_2#BOT
1,48170,4948
2,1120,91
3,171,25
4,208,44
5,50,9
6,65,1
7,114,16
8,177,10
9,30,2
10,110,3
11,162,42
12,51,8
13,47,3
14,25,0
15,97,0
16,23,5
17,44,2
18,36,2
19,106,33
20,31,27
21,107,15
22,58,5
23,16,6
24,11,6
25,14,3
26,14,15
27,64,11
28,20,7
29,13,5
30,22,6
31,22,6
32,18,5
33,39,4
34,14,3
35,22,43
36,23,12
37,58,6
38,23,3
39,69,20
40,75,3
41,34,2
42,65,0
43,56,11
44,17,3
45,47,3
46,43,4
47,28,10
48,18,5
49,80,6
50,61,7
51,34,3
52,14,8
53,51,5
54,13,9
55,11,3
56,48,2
57,19,11
58,52,1
59,15,7
60,23,6
61,37,9
62,14,4
63,29,1
64,25,17
65,17,14
66,10,0
67,19,2
68,17,3
69,20,6
70,12,7
71,7,3
72,15,7
73,41,1
74,17,2
75,17,2
76,14,2
77,12,10
78,147,1
79,31,4
80,15,4
81,14,13
82,29,5
83,16,0
84,13,1
85,47,2
86,19,16
87,12,2
88,34,5
89,19,4
90,19,5
91,19,4
92,18,5
93,171,6
94,30,6
95,13,12
96,17,0
97,14,6
98,14,24
99,14,4
100,71,2
101,20,14
102,14,3
103,9,6
104,48,4
105,21,12
106,15,8
107,4,3
108,15,2
109,7,8
110,2,7
111,5,6
112,5,6
113,15,3
114,11,11
115,14,7
116,13,4
117,9,0
118,9,2
119,17,23
120,11,6
121,17,2
122,5,3
123,6,4
124,4,5
125,6,10
126,1,1
127,9,3
128,9,7
129,7,3
130,5,6
131,9,17
132,4,5
133,12,3
134,9,4
135,9,7
136,6,4
137,6,7
138,35,3
139,8,3
140,7,11
141,10,3
142,10,5
143,7,3
144,5,5
145,8,11
146,6,3
147,10,1
148,13,2
149,9,3
150,3,2
151,11,6
152,4,7
153,5,6
154,13,5
155,15,5
156,10,11
157,15,1
158,7,7
159,7,7
160,6,1
161,18,7
162,17,6
163,15,9
164,11,15
165,11,7
166,13,6
167,11,4
168,9,2
169,7,5
170,3,5
171,5,4
172,7,13
173,13,4
174,11,15
175,3,5
176,6,3
177,15,7
178,11,14
179,6,8
180,18,5
181,16,2
182,8,13
183,2,11
184,11,8
185,12,3
186,11,5
187,8,1
188,6,8
189,4,10
190,8,4
191,10,12
192,10,4
193,3,1
194,4,8
195,9,10
196,17,6
197,5,4
198,13,2
199,12,4
200,4,2
201,16,5
202,6,7
203,9,1
204,2,6
205,4,6
206,8,2
207,7,5
208,4,6
209,8,7
210,10,10
211,5,8
212,6,3
213,10,6
214,5,11
215,9,8
216,6,8
217,8,8
218,12,5
219,5,3
220,6,8
221,6,8
222,2,4
223,7,6
224,6,7
225,3,13
226,5,5
227,17,6
228,5,4
229,1,3
230,1,7
231,6,4
232,1,4
233,3,5
234,5,5
235,3,7
236,2,4
237,3,2
238,3,2
239,3,4
240,3,11
241,5,9
242,5,9
243,7,7
244,3,6
245,3,7
246,1,15
247,5,22
248,4,3
249,6,2
250,3,12
251,3,7
252,2,2
253,1,9
254,3,8
255,2,7
256,7,8
257,5,21
258,4,4
259,6,4
260,7,13
261,3,6
262,6,12
263,4,5
264,3,5
265,5,15
266,4,15
267,11,6
268,7,8
269,4,14
270,3,31
271,9,19
272,2,16
273,5,9
274,3,15
275,6,14
276,8,15
277,1,16
278,4,34
279,5,20
280,7,13
281,6,24
282,15,20
283,7,26
284,4,18
285,2,10
286,6,22
287,3,33
288,3,53
289,3,31
290,7,27
291,12,14
292,4,32
293,3,17
294,9,39
295,3,24
296,2,14
297,1,37
298,4,16
299,1,18
300,2,9
301,4,19
302,7,24
303,1,16
304,3,14
305,2,10
306,6,26
307,8,18
308,6,22
309,7,18
310,3,21
311,2,34
312,1,24
313,2,31
314,2,22
315,8,50
316,5,31
317,1,24
318,4,43
319,11,42
320,6,19
321,0,36
322,2,31
323,6,83
