Distance from 5'-end,HP0.6.4.GC_3
0,32.09190306734487
1,32.50626604207295
2,32.744670513413354
3,32.811204487424355
4,32.5034882084481
5,34.497778403265045
6,34.75161007123853
7,34.79979157870752
8,34.785674554507864
9,34.874297164532194
10,34.08765087087932
11,35.39121547812917
12,37.10747099861276
13,37.05541258703767
14,37.06542150023121
15,36.983617818345095
16,37.118790084239734
17,36.96154593645496
18,37.01337314113003
19,36.90018228486031
20,36.99472580201988
21,36.92387261505056
22,37.4599777505244
23,37.34324507261237
24,37.490376431639824
25,37.53180602746336
26,37.49421647667491
27,37.43510793006159
28,37.42293438415194
29,37.34412633949215
30,37.45804097388367
31,37.375590582842435
32,37.501119175429075
33,37.44689948196251
34,37.30047179610902
35,37.24672121809177
36,37.30424817547598
37,37.39296795941481
38,37.29980163118143
39,37.29479214834771
40,37.313704202604264
41,37.33376223888699
42,37.272556076050314
43,37.18614836111167
44,37.359255312732465
45,37.42327616826501
46,37.47766340296347
47,37.370886025050766
48,37.44796169337274
49,37.44866201572207
50,37.41061005113358
51,37.43709831989653
52,37.41011077826253
53,37.41878606325017
54,37.37743018556867
55,37.3485728837867
56,37.30852717853864
57,37.427568574626214
58,37.37506450337428
59,37.4128282970439
60,37.31255486975345
61,37.394723791525095
62,37.319494427578626
63,37.36005280899629
64,37.411323776781465
65,37.340822426399136
66,37.47086122894844
67,37.49183068953269
68,37.43644155826749
69,37.411162937198846
70,37.288227882881976
71,37.30218071667437
72,37.50547859828304
73,37.44773048647272
74,37.482414872300076
75,36.91691630310219
