Base index,HP0.6.4.GC_3#TOP,HP0.6.4.GC_3#BOT
1,29739,58695
2,490,1315
3,113,352
4,152,771
5,15,229
6,107,37
7,195,257
8,159,158
9,55,32
10,90,35
11,114,589
12,55,131
13,51,155
14,51,38
15,80,63
16,42,81
17,38,51
18,39,64
19,51,516
20,23,146
21,118,108
22,93,84
23,62,64
24,22,55
25,39,37
26,36,64
27,82,82
28,15,56
29,17,35
30,37,90
31,26,170
32,41,164
33,17,36
34,7,31
35,30,478
36,25,160
37,70,57
38,21,29
39,98,249
40,68,52
41,30,5
42,48,21
43,79,122
44,28,102
45,50,38
46,32,27
47,19,88
48,25,29
49,71,93
50,64,61
51,36,25
52,21,71
53,59,83
54,25,66
55,18,26
56,53,36
57,19,112
58,36,32
59,27,97
60,28,166
61,63,85
62,24,22
63,67,35
64,25,253
65,17,180
66,20,21
67,59,37
68,28,82
69,69,47
70,30,43
71,25,31
72,43,95
73,81,22
74,55,56
75,44,39
76,22,56
77,26,70
78,231,31
79,96,52
80,37,58
81,49,121
82,73,29
83,18,25
84,25,36
85,68,78
86,31,158
87,39,52
88,20,78
89,47,32
90,23,29
91,24,141
92,20,38
93,230,113
94,54,104
95,26,127
96,45,27
97,74,64
98,41,432
99,18,40
100,170,13
101,60,107
102,44,58
103,33,55
104,234,31
105,74,113
106,24,102
107,38,65
108,67,48
109,76,90
110,28,25
111,48,63
112,27,79
113,61,47
114,29,115
115,142,74
116,44,86
117,54,38
118,19,34
119,90,205
120,31,56
121,72,50
122,42,28
123,28,47
124,27,20
125,45,87
126,23,22
127,22,23
128,36,55
129,17,31
130,48,68
131,26,178
132,10,49
133,27,30
134,33,51
135,46,41
136,31,17
137,33,211
138,229,48
139,52,51
140,34,82
141,57,48
142,57,34
143,35,29
144,47,20
145,35,131
146,23,33
147,42,24
148,57,36
149,46,20
150,42,43
151,30,94
152,21,78
153,24,53
154,36,134
155,87,58
156,44,125
157,50,32
158,52,30
159,33,51
160,54,30
161,65,77
162,68,29
163,67,40
164,40,190
165,51,48
166,45,43
167,22,71
168,58,43
169,27,35
170,25,46
171,48,74
172,37,68
173,38,48
174,53,109
175,46,72
176,36,33
177,56,35
178,29,105
179,23,80
180,101,64
181,64,20
182,34,147
183,36,53
184,85,56
185,78,34
186,31,26
187,74,46
188,14,97
189,39,104
190,14,42
191,68,66
192,43,32
193,52,27
194,28,163
195,35,55
196,122,72
197,64,26
198,73,34
199,51,44
200,35,34
201,95,44
202,30,52
203,41,42
204,27,54
205,19,72
206,30,45
207,22,38
208,36,32
209,30,27
210,38,63
211,47,26
212,40,25
213,62,28
214,72,67
215,54,106
216,32,37
217,67,32
218,55,28
219,39,48
220,57,97
221,73,103
222,52,141
223,54,38
224,77,36
225,23,141
226,28,45
227,182,43
228,71,47
229,39,37
230,33,38
231,132,30
232,38,56
233,38,52
234,66,54
235,23,85
236,34,34
237,31,30
238,96,17
239,53,79
240,20,55
241,20,79
242,66,45
243,23,37
244,82,35
245,20,48
246,13,82
247,65,238
248,41,54
249,79,25
250,48,66
251,47,28
252,54,30
253,23,70
254,40,21
255,38,24
256,43,22
257,69,113
258,41,20
259,56,26
260,43,57
261,43,20
262,67,51
263,60,35
264,40,31
265,67,47
266,31,47
267,102,32
268,59,30
269,30,63
270,30,121
271,86,52
272,23,54
273,69,50
274,42,27
275,54,25
276,35,23
277,24,30
278,18,80
279,35,116
280,42,19
281,41,38
282,122,32
283,53,36
284,44,36
285,39,32
286,85,31
287,22,70
288,31,129
289,68,56
290,43,38
291,105,40
292,46,73
293,36,23
294,38,136
295,12,40
296,17,22
297,28,51
298,26,36
299,9,18
300,39,16
301,25,55
302,47,36
303,28,27
304,57,11
305,26,23
306,57,52
307,39,22
308,44,17
309,50,23
310,39,19
311,19,25
312,33,26
313,41,36
314,20,15
315,84,48
316,28,39
317,29,17
318,66,49
319,74,49
320,28,9
321,27,22
322,21,34
323,40,79
324,21,63
325,48,30
326,27,42
327,23,41
328,53,18
329,42,21
330,76,22
331,42,61
332,44,21
333,63,46
334,77,17
335,71,28
336,56,45
337,41,2197
338,52,181
339,21,47
340,33,60
341,1088,75
342,118,76
343,187,76
344,91,101
345,123,103
346,172,88
