Base index shifted,HP4.6.4_3#TOP,HP4.6.4_3#BOT
-374.5,44979,0
-373.5,927,0
-372.5,146,0
-371.5,171,0
-370.5,35,0
-369.5,82,0
-368.5,144,39556
-367.5,180,661
-366.5,36,132
-365.5,97,333
-364.5,140,96
-363.5,56,17
-362.5,57,96
-361.5,39,56
-360.5,111,17
-359.5,38,15
-358.5,44,229
-357.5,46,72
-356.5,82,38
-355.5,35,20
-354.5,151,14
-353.5,113,51
-352.5,69,15
-351.5,31,25
-350.5,38,204
-349.5,25,51
-348.5,93,34
-347.5,30,32
-346.5,17,19
-345.5,28,34
-344.5,42,12
-343.5,40,29
-342.5,63,41
-341.5,24,34
-340.5,38,16
-339.5,48,42
-338.5,101,73
-337.5,36,44
-336.5,128,14
-335.5,110,9
-334.5,50,218
-333.5,94,58
-332.5,90,27
-331.5,32,5
-330.5,99,98
-329.5,52,33
-328.5,49,7
-327.5,33,13
-326.5,127,51
-325.5,101,54
-324.5,39,29
-323.5,33,14
-322.5,78,39
-321.5,41,15
-320.5,40,30
-319.5,82,35
-318.5,36,15
-317.5,85,43
-316.5,36,25
-315.5,62,31
-314.5,82,14
-313.5,47,38
-312.5,73,51
-311.5,42,29
-310.5,46,38
-309.5,25,59
-308.5,90,50
-307.5,47,13
-306.5,74,21
-305.5,35,103
-304.5,48,73
-303.5,54,16
-302.5,98,22
-301.5,72,47
-300.5,47,15
-299.5,54,20
-298.5,49,20
-297.5,280,54
-296.5,94,14
-295.5,54,24
-294.5,58,28
-293.5,74,24
-292.5,62,40
-291.5,43,17
-290.5,107,27
-289.5,56,34
-288.5,56,37
-287.5,61,23
-286.5,62,17
-285.5,55,21
-284.5,47,58
-283.5,45,52
-282.5,341,29
-281.5,93,25
-280.5,38,24
-279.5,67,26
-278.5,68,42
-277.5,67,25
-276.5,60,48
-275.5,232,43
-274.5,80,35
-273.5,62,20
-272.5,78,15
-271.5,242,161
-270.5,97,22
-269.5,61,14
-268.5,56,38
-267.5,126,31
-266.5,107,44
-265.5,64,20
-264.5,75,54
-263.5,45,47
-262.5,98,22
-261.5,65,26
-260.5,121,39
-259.5,71,19
-258.5,76,37
-257.5,98,29
-256.5,102,24
-255.5,57,63
-254.5,77,33
-253.5,73,27
-252.5,47,27
-251.5,52,28
-250.5,66,63
-249.5,57,30
-248.5,51,28
-247.5,56,25
-246.5,51,33
-245.5,72,18
-244.5,58,37
-243.5,58,15
-242.5,57,26
-241.5,70,29
-240.5,91,34
-239.5,71,34
-238.5,101,89
-237.5,269,42
-236.5,124,20
-235.5,76,27
-234.5,85,22
-233.5,93,29
-232.5,71,64
-231.5,74,34
-230.5,64,29
-229.5,68,46
-228.5,87,30
-227.5,94,39
-226.5,93,35
-225.5,64,30
-224.5,85,71
-223.5,70,38
-222.5,79,34
-221.5,101,42
-220.5,135,29
-219.5,89,52
-218.5,88,53
-217.5,88,59
-216.5,108,33
-215.5,95,75
-214.5,157,45
-213.5,141,72
-212.5,120,34
-211.5,101,48
-210.5,122,51
-209.5,119,39
-208.5,85,55
-207.5,89,53
-206.5,97,52
-205.5,95,95
-204.5,100,58
-203.5,100,61
-202.5,99,59
-201.5,91,56
-200.5,89,53
-199.5,103,65
-198.5,136,67
-197.5,69,93
-196.5,83,90
-195.5,153,80
-194.5,133,61
-193.5,68,40
-192.5,91,60
-191.5,135,64
-190.5,100,69
-189.5,131,66
-188.5,125,42
-187.5,54,83
-186.5,74,71
-185.5,83,41
-184.5,82,51
-183.5,70,37
-182.5,77,46
-181.5,74,60
-180.5,82,56
-179.5,162,58
-178.5,77,69
-177.5,115,56
-176.5,93,39
-175.5,65,77
-174.5,121,59
-173.5,64,52
-172.5,88,49
-171.5,61,43
-170.5,47,37
-169.5,56,30
-168.5,97,51
-167.5,60,43
-166.5,71,40
-165.5,109,38
-164.5,94,66
-163.5,78,31
-162.5,123,36
-161.5,100,45
-160.5,65,44
-159.5,75,58
-158.5,71,42
-157.5,99,35
-156.5,56,58
-155.5,64,55
-154.5,88,73
-153.5,58,56
-152.5,87,51
-151.5,65,55
-150.5,56,49
-149.5,49,61
-148.5,171,57
-147.5,71,87
-146.5,78,62
-145.5,52,32
-144.5,97,77
-143.5,42,48
-142.5,42,57
-141.5,61,49
-140.5,49,50
-139.5,59,45
-138.5,59,34
-137.5,78,44
-136.5,59,59
-135.5,38,53
-134.5,35,54
-133.5,63,41
-132.5,50,34
-131.5,81,39
-130.5,38,59
-129.5,30,36
-128.5,58,73
-127.5,36,52
-126.5,59,29
-125.5,48,34
-124.5,37,48
-123.5,49,57
-122.5,31,115
-121.5,53,48
-120.5,41,41
-119.5,48,48
-118.5,64,34
-117.5,35,31
-116.5,49,47
-115.5,50,30
-114.5,59,22
-113.5,53,30
-112.5,44,69
-111.5,42,36
-110.5,46,31
-109.5,33,37
-108.5,44,22
-107.5,35,47
-106.5,30,46
-105.5,28,33
-104.5,43,48
-103.5,46,56
-102.5,53,28
-101.5,28,35
-100.5,42,47
-99.5,36,92
-98.5,33,36
-97.5,33,35
-96.5,22,38
-95.5,29,38
-94.5,49,36
-93.5,60,25
-92.5,40,38
-91.5,29,56
-90.5,46,76
-89.5,41,33
-88.5,34,35
-87.5,25,21
-86.5,44,38
-85.5,29,48
-84.5,60,32
-83.5,34,41
-82.5,8,53
-81.5,17,81
-80.5,8,55
-79.5,6,33
-78.5,9,42
-77.5,21,67
-76.5,9,19
-75.5,12,51
-74.5,11,33
-73.5,15,15
-72.5,8,25
-71.5,23,25
-70.5,8,20
-69.5,25,12
-68.5,25,31
-67.5,14,27
-66.5,24,25
-65.5,17,19
-64.5,8,24
-63.5,10,32
-62.5,9,30
-61.5,15,16
-60.5,44,20
-59.5,14,19
-58.5,8,38
-57.5,41,37
-56.5,47,27
-55.5,20,17
-54.5,11,71
-53.5,13,45
-52.5,29,40
-51.5,9,69
-50.5,13,47
-49.5,25,28
-48.5,8,34
-47.5,30,25
-46.5,22,89
-45.5,30,39
-44.5,14,39
-43.5,17,49
-42.5,28,61
-41.5,28,26
-40.5,26,55
-39.5,31,34
-38.5,26,83
-37.5,30,50
-36.5,15,56
-35.5,20,58
-34.5,764,53
-33.5,51,118
-32.5,44,1095
-31.5,76,156
-30.5,37,73
-29.5,22,112
-28.5,73,95
-27.5,49,108
-26.5,96,86
-25.5,66,141
-24.5,66,177
-23.5,89,98
-22.5,63,173
-21.5,40,175
-20.5,79,120
-19.5,60,111
-18.5,110,101
-17.5,121,233
-16.5,137,192
-15.5,187,175
-14.5,183,153
-13.5,198,268
-12.5,284,147
-11.5,213,238
-10.5,411,225
-9.5,315,193
-8.5,546,472
-7.5,531,406
-6.5,649,460
-5.5,915,631
-4.5,557,743
-3.5,933,1188
-2.5,837,2019
-1.5,816,2933
-0.5,790,3285
0.5,885,3975
1.5,987,3166
2.5,1264,2652
