Base index shifted,HP0.4.4_1#TOP,HP0.4.4_1#BOT
-372.5,63985,0
-371.5,1416,0
-370.5,219,0
-369.5,296,0
-368.5,64,0
-367.5,68,0
-366.5,176,5158
-365.5,230,100
-364.5,40,17
-363.5,161,38
-362.5,189,21
-361.5,60,7
-360.5,56,27
-359.5,44,12
-358.5,123,4
-357.5,32,4
-356.5,33,35
-355.5,54,10
-354.5,104,8
-353.5,43,1
-352.5,156,3
-351.5,123,9
-350.5,37,2
-349.5,24,3
-348.5,27,22
-347.5,21,25
-346.5,62,11
-345.5,18,8
-344.5,10,7
-343.5,20,5
-342.5,30,2
-341.5,20,18
-340.5,45,11
-339.5,6,7
-338.5,18,2
-337.5,37,4
-336.5,79,4
-335.5,19,10
-334.5,100,1
-333.5,109,2
-332.5,26,46
-331.5,89,9
-330.5,66,5
-329.5,21,2
-328.5,56,28
-327.5,28,8
-326.5,20,0
-325.5,14,2
-324.5,75,11
-323.5,63,10
-322.5,12,4
-321.5,15,1
-320.5,34,11
-319.5,21,3
-318.5,15,5
-317.5,47,6
-316.5,8,1
-315.5,39,7
-314.5,8,8
-313.5,15,3
-312.5,32,1
-311.5,20,9
-310.5,15,9
-309.5,13,4
-308.5,15,4
-307.5,5,10
-306.5,25,10
-305.5,14,2
-304.5,23,1
-303.5,10,22
-302.5,10,11
-301.5,16,3
-300.5,31,2
-299.5,19,7
-298.5,21,2
-297.5,13,1
-296.5,13,7
-295.5,107,7
-294.5,18,2
-293.5,8,1
-292.5,8,8
-291.5,24,3
-290.5,12,8
-289.5,15,4
-288.5,38,5
-287.5,19,4
-286.5,15,9
-285.5,17,2
-284.5,21,2
-283.5,17,3
-282.5,12,7
-281.5,14,13
-280.5,157,7
-279.5,26,7
-278.5,9,1
-277.5,20,5
-276.5,18,10
-275.5,13,4
-274.5,10,5
-273.5,87,7
-272.5,20,4
-271.5,9,7
-270.5,14,10
-269.5,51,23
-268.5,21,7
-267.5,8,2
-266.5,6,4
-265.5,17,2
-264.5,8,9
-263.5,5,5
-262.5,6,6
-261.5,7,6
-260.5,13,8
-259.5,2,3
-258.5,7,8
-257.5,5,5
-256.5,7,5
-255.5,6,5
-254.5,9,5
-253.5,12,8
-252.5,13,6
-251.5,6,3
-250.5,6,3
-249.5,4,2
-248.5,6,5
-247.5,6,6
-246.5,2,2
-245.5,8,3
-244.5,5,4
-243.5,7,6
-242.5,7,4
-241.5,6,2
-240.5,4,1
-239.5,13,6
-238.5,5,6
-237.5,8,5
-236.5,14,16
-235.5,34,5
-234.5,6,1
-233.5,11,7
-232.5,11,5
-231.5,4,5
-230.5,6,11
-229.5,2,5
-228.5,4,5
-227.5,10,14
-226.5,7,2
-225.5,4,3
-224.5,10,2
-223.5,7,1
-222.5,12,5
-221.5,11,4
-220.5,7,3
-219.5,4,5
-218.5,21,1
-217.5,13,5
-216.5,7,6
-215.5,9,8
-214.5,9,2
-213.5,10,8
-212.5,18,4
-211.5,18,9
-210.5,16,2
-209.5,13,3
-208.5,9,6
-207.5,12,6
-206.5,4,5
-205.5,9,5
-204.5,7,7
-203.5,6,18
-202.5,6,0
-201.5,9,3
-200.5,6,10
-199.5,9,4
-198.5,3,6
-197.5,8,5
-196.5,9,7
-195.5,5,10
-194.5,11,7
-193.5,19,11
-192.5,7,7
-191.5,5,3
-190.5,4,10
-189.5,18,4
-188.5,7,7
-187.5,11,4
-186.5,15,3
-185.5,2,12
-184.5,7,10
-183.5,3,8
-182.5,12,2
-181.5,4,5
-180.5,6,3
-179.5,3,6
-178.5,1,8
-177.5,12,3
-176.5,9,3
-175.5,11,0
-174.5,7,5
-173.5,4,6
-172.5,14,5
-171.5,8,6
-170.5,4,3
-169.5,3,1
-168.5,2,7
-167.5,8,5
-166.5,6,5
-165.5,6,3
-164.5,3,4
-163.5,6,4
-162.5,7,8
-161.5,11,6
-160.5,10,3
-159.5,12,4
-158.5,9,3
-157.5,6,5
-156.5,2,3
-155.5,4,4
-154.5,2,3
-153.5,5,5
-152.5,7,6
-151.5,3,4
-150.5,6,5
-149.5,2,2
-148.5,1,9
-147.5,1,8
-146.5,18,11
-145.5,4,8
-144.5,5,6
-143.5,5,5
-142.5,15,14
-141.5,6,7
-140.5,1,9
-139.5,4,4
-138.5,2,6
-137.5,6,6
-136.5,3,2
-135.5,3,6
-134.5,5,8
-133.5,2,9
-132.5,7,11
-131.5,8,7
-130.5,2,10
-129.5,6,7
-128.5,4,10
-127.5,3,8
-126.5,3,13
-125.5,8,5
-124.5,2,9
-123.5,4,7
-122.5,3,9
-121.5,5,12
-120.5,5,45
-119.5,8,14
-118.5,1,5
-117.5,3,14
-116.5,3,2
-115.5,7,3
-114.5,5,7
-113.5,2,5
-112.5,4,4
-111.5,3,7
-110.5,4,23
-109.5,8,9
-108.5,3,9
-107.5,1,15
-106.5,7,11
-105.5,5,20
-104.5,3,7
-103.5,7,10
-102.5,5,18
-101.5,0,17
-100.5,4,11
-99.5,2,8
-98.5,7,21
-97.5,1,26
-96.5,3,15
-95.5,3,13
-94.5,1,10
-93.5,8,12
-92.5,1,20
-91.5,8,9
-90.5,4,10
-89.5,6,32
-88.5,6,36
-87.5,3,11
-86.5,1,6
-85.5,3,10
-84.5,4,9
-83.5,3,18
-82.5,7,8
-81.5,3,16
-80.5,0,24
-79.5,3,49
-78.5,1,26
-77.5,0,9
-76.5,1,15
-75.5,3,25
-74.5,0,9
-73.5,0,35
-72.5,3,19
-71.5,1,10
-70.5,0,24
-69.5,2,18
-68.5,1,6
-67.5,4,10
-66.5,2,11
-65.5,1,18
-64.5,4,18
-63.5,4,10
-62.5,1,8
-61.5,2,22
-60.5,2,19
-59.5,2,7
-58.5,6,15
-57.5,5,17
-56.5,2,24
-55.5,7,14
-54.5,6,11
-53.5,4,8
-52.5,2,47
-51.5,1,38
-50.5,3,15
-49.5,2,46
-48.5,4,41
-47.5,4,20
-46.5,1,15
-45.5,3,12
-44.5,3,62
-43.5,3,28
-42.5,6,21
-41.5,3,25
-40.5,3,52
-39.5,5,20
-38.5,2,22
-37.5,5,24
-36.5,4,59
-35.5,2,48
-34.5,5,31
-33.5,4,26
-32.5,109,42
-31.5,9,45
-30.5,7,1787
-29.5,15,139
-28.5,8,56
-27.5,2,128
-26.5,13,81
-25.5,8,91
-24.5,11,54
-23.5,9,142
-22.5,11,134
-21.5,10,104
-20.5,7,178
-19.5,8,196
-18.5,18,127
-17.5,10,74
-16.5,14,64
-15.5,17,299
-14.5,22,158
-13.5,26,141
-12.5,31,163
-11.5,25,294
-10.5,57,167
-9.5,31,288
-8.5,51,310
-7.5,62,343
-6.5,79,1007
-5.5,65,884
-4.5,54,1241
-3.5,90,1808
-2.5,94,2622
-1.5,68,4951
-0.5,73,5851
0.5,83,5706
1.5,105,5085
2.5,142,2867
3.5,90,2237
4.5,198,1059
5.5,129,771
6.5,194,381
7.5,137,376
8.5,171,830
9.5,118,441
10.5,108,241
11.5,131,593
12.5,76,181
13.5,90,330
14.5,59,501
15.5,58,329
16.5,38,128
17.5,33,457
18.5,54,331
19.5,42,400
20.5,66,187
21.5,50,289
22.5,25,222
23.5,40,158
24.5,50,159
25.5,32,183
26.5,17,215
27.5,28,137
28.5,20,207
29.5,27,186
30.5,12,206
31.5,14,880
32.5,19,167
33.5,55,110
34.5,24,231
35.5,16,207
36.5,18,114
37.5,16,211
38.5,9,181
39.5,40,91
40.5,22,173
41.5,22,90
42.5,14,149
43.5,7,185
44.5,11,106
45.5,12,158
46.5,7,114
47.5,25,140
48.5,9,149
49.5,18,102
50.5,20,105
51.5,13,116
52.5,9,252
53.5,12,94
54.5,17,121
55.5,13,422
56.5,15,291
57.5,14,141
58.5,22,85
59.5,4,108
60.5,9,109
61.5,21,108
62.5,4,160
63.5,8,133
64.5,8,280
65.5,24,118
66.5,23,406
67.5,13,271
68.5,7,223
69.5,20,146
70.5,15,194
71.5,8,136
72.5,9,111
73.5,10,184
74.5,9,143
75.5,10,124
76.5,9,352
77.5,12,216
78.5,24,148
79.5,19,355
80.5,4,318
81.5,7,121
82.5,35,120
83.5,12,117
84.5,6,600
85.5,12,190
86.5,18,163
87.5,11,193
88.5,24,307
89.5,129,134
90.5,26,222
91.5,23,157
92.5,50,105
93.5,50,152
94.5,27,141
95.5,15,152
96.5,15,297
97.5,31,248
98.5,29,154
99.5,17,246
100.5,15,164
101.5,20,162
102.5,12,101
103.5,13,227
104.5,29,164
105.5,9,205
106.5,8,91
107.5,18,93
108.5,9,865
109.5,22,186
110.5,14,92
111.5,36,158
112.5,13,101
113.5,9,136
114.5,12,246
115.5,11,82
116.5,8,69
117.5,9,216
118.5,11,132
119.5,24,99
120.5,21,75
121.5,12,130
122.5,5,104
123.5,8,57
124.5,6,71
125.5,6,116
126.5,15,161
127.5,3,102
128.5,4,84
129.5,6,92
130.5,41,71
131.5,9,82
132.5,5,106
133.5,7,65
134.5,6,115
135.5,8,107
136.5,7,52
137.5,7,90
138.5,2,67
139.5,6,63
140.5,2,124
141.5,15,75
142.5,3,79
143.5,3,208
144.5,5,105
145.5,7,57
146.5,4,72
147.5,3,83
148.5,20,156
149.5,14,87
150.5,5,130
151.5,15,140
152.5,10,102
153.5,3,89
154.5,3,74
155.5,0,108
156.5,12,114
157.5,4,75
158.5,11,86
159.5,6,132
160.5,2,67
161.5,14,110
162.5,3,89
163.5,14,76
164.5,4,54
165.5,4,57
166.5,11,75
167.5,11,61
168.5,7,70
