Base index shifted,HP5.6.4#TOP#AVERAGE,HP5.6.4#TOP#STD,HP5.6.4#BOT#AVERAGE,HP5.6.4#BOT#STD
-50.0,0.0,0.0,0.0003254666101125784,4.771221941709394e-05
-49.5,0.0002336717872703956,0.00011154791525576343,0.0,0.0
-49.0,0.0,0.0,0.00028192687029542524,5.233278023334434e-05
-48.5,0.00025996612717426703,0.00015293512872227683,0.0,0.0
-48.0,0.0,0.0,0.00036153343892365863,5.5767902296872326e-05
-47.5,0.00034952912323894147,8.214350838742184e-05,0.0,0.0
-47.0,0.0,0.0,0.0011435945692134027,8.552801076071603e-05
-46.5,0.00021616318680858174,1.8956339134293235e-06,0.0,0.0
-46.0,0.0,0.0,0.0005545876532790071,0.00022864976266476097
-45.5,0.0005027005645448049,0.0002067252287220115,0.0,0.0
-45.0,0.0,0.0,0.0004973778333226412,0.0001526150522977592
-44.5,0.0003312339284984639,0.00010119907407786127,0.0,0.0
-44.0,0.0,0.0,0.0005561297944098741,0.00015172329091153549
-43.5,0.00039377886880290447,3.8297144679786444e-05,0.0,0.0
-43.0,0.0,0.0,0.00101160812859928,0.000100538725100113
-42.5,0.0004915109045711658,0.00017605339879297606,0.0,0.0
-42.0,0.0,0.0,0.0005187564955597998,7.716995692607774e-05
-41.5,0.0006253236461998032,0.00018150295087634608,0.0,0.0
-41.0,0.0,0.0,0.0007101177567188179,0.0001412671678814136
-40.5,0.0007514770317454328,0.00028893947439598565,0.0,0.0
-40.0,0.0,0.0,0.0005218781262509157,9.159758214051046e-05
-39.5,0.00025996612717426703,0.00015293512872227683,0.0,0.0
-39.0,0.0,0.0,0.0009762249103695313,4.290516926285896e-05
-38.5,0.0006357895903170799,0.0003800446507626093,0.0,0.0
-38.0,0.0,0.0,0.0007567330349779952,0.00017101568142768885
-37.5,0.0004392620138438089,0.00019143150287310396,0.0,0.0
-37.0,0.0,0.0,0.0006626439479101052,0.0001611856749480583
-36.5,0.0003322974334352123,0.0001615845988848794,0.0,0.0
-36.0,0.0,0.0,0.0006821767213290809,0.00020031355227377584
-35.5,0.00043943190838400197,0.00037626115293574775,0.0,0.0
-35.0,0.0,0.0,0.0007187068537126504,0.00020470554955702644
-34.5,0.011673850292418807,0.0011495866494747047,0.0,0.0
-34.0,0.0,0.0,0.0016271039997343398,0.0005634354509051568
-33.5,0.0013039596880637118,0.0004144731069956855,0.0,0.0
-33.0,0.0,0.0,0.016467549371371664,0.0029036933205183997
-32.5,0.0009034150735743548,0.0001849711332431176,0.0,0.0
-32.0,0.0,0.0,0.003202142037337752,0.0005947151752443865
-31.5,0.000925114815360861,0.0007082361541328162,0.0,0.0
-31.0,0.0,0.0,0.001445244496979038,7.754619030561895e-05
-30.5,0.0007342453419417037,0.00010858613871147463,0.0,0.0
-30.0,0.0,0.0,0.002250150315430108,0.00015808677841377643
-29.5,0.00040267162436285374,0.00016627932931062824,0.0,0.0
-29.0,0.0,0.0,0.001520947724781773,0.00017934188757486583
-28.5,0.0014326240102588146,0.0004965627653240523,0.0,0.0
-28.0,0.0,0.0,0.0017984838427764702,0.00032738695460017065
-27.5,0.0011166646562307762,0.00032440131833447135,0.0,0.0
-27.0,0.0,0.0,0.0016649332766851294,0.00022616343176023798
-26.5,0.0013448040972916606,0.0003963239701816225,0.0,0.0
-26.0,0.0,0.0,0.0026403984612666295,0.0005871554545906572
-25.5,0.0012966842587566803,0.00043328466118651676,0.0,0.0
-25.0,0.0,0.0,0.002600246046190073,0.0001988443075603621
-24.5,0.0014421963439795358,9.942577554079477e-05,0.0,0.0
-24.0,0.0,0.0,0.0017935711593359731,0.00019055209368665945
-23.5,0.0015400982742879903,0.0003409869280983543,0.0,0.0
-23.0,0.0,0.0,0.0034140380890589706,0.00010084960132270021
-22.5,0.0016451498770588733,0.0004308192374291283,0.0,0.0
-22.0,0.0,0.0,0.0033798084052463636,0.00037321677652957686
-21.5,0.0011918025505259903,0.00047489446713265006,0.0,0.0
-21.0,0.0,0.0,0.002320757196004432,0.00022318357969309125
-20.5,0.00129898116317037,0.00021205413679806256,0.0,0.0
-20.0,0.0,0.0,0.001877081068789705,8.025840595720449e-05
-19.5,0.0015312055187280409,0.0005350874368576928,0.0,0.0
-19.0,0.0,0.0,0.0018488516497956824,0.00021823328422636106
-18.5,0.0023376122723904966,0.00022811210319540804,0.0,0.0
-18.0,0.0,0.0,0.0037113974876333182,0.00021098437841278632
-17.5,0.002388627763640912,0.00025453397799829697,0.0,0.0
-17.0,0.0,0.0,0.003092604352699456,0.0003249671049383892
-16.5,0.0027845336423173135,1.0148345210411824e-05,0.0,0.0
-16.0,0.0,0.0,0.0029650460128154434,0.0006586723814953469
