Base index shifted,HP0.0.4_1#TOP,HP0.0.4_1#BOT
-368.5,34456,0
-367.5,817,0
-366.5,111,54101
-365.5,154,938
-364.5,31,199
-363.5,48,549
-362.5,89,164
-361.5,124,26
-360.5,12,176
-359.5,75,64
-358.5,96,28
-357.5,39,20
-356.5,51,356
-355.5,18,98
-354.5,78,36
-353.5,23,16
-352.5,25,23
-351.5,31,56
-350.5,57,14
-349.5,26,28
-348.5,96,291
-347.5,60,89
-346.5,37,54
-345.5,16,39
-344.5,27,10
-343.5,16,37
-342.5,56,10
-341.5,11,33
-340.5,9,38
-339.5,12,40
-338.5,21,11
-337.5,13,54
-336.5,30,100
-335.5,7,52
-334.5,17,15
-333.5,14,6
-332.5,64,252
-331.5,13,43
-330.5,60,27
-329.5,60,12
-328.5,31,97
-327.5,41,29
-326.5,55,8
-325.5,13,12
-324.5,37,69
-323.5,26,49
-322.5,16,25
-321.5,21,9
-320.5,49,50
-319.5,47,10
-318.5,20,32
-317.5,9,27
-316.5,32,13
-315.5,11,38
-314.5,11,25
-313.5,48,40
-312.5,19,7
-311.5,41,19
-310.5,19,40
-309.5,21,21
-308.5,38,46
-307.5,17,52
-306.5,27,49
-305.5,18,12
-304.5,20,11
-303.5,7,106
-302.5,38,71
-301.5,15,9
-300.5,31,4
-299.5,15,41
-298.5,26,21
-297.5,22,23
-296.5,47,11
-295.5,33,34
-294.5,23,19
-293.5,23,16
-292.5,17,28
-291.5,192,13
-290.5,50,23
-289.5,21,14
-288.5,26,18
-287.5,42,29
-286.5,25,51
-285.5,23,26
-284.5,61,16
-283.5,19,17
-282.5,16,26
-281.5,30,49
-280.5,30,19
-279.5,27,34
-278.5,20,15
-277.5,32,22
-276.5,206,43
-275.5,44,13
-274.5,13,62
-273.5,43,48
-272.5,30,30
-271.5,24,18
-270.5,28,29
-269.5,117,182
-268.5,49,32
-267.5,44,15
-266.5,45,46
-265.5,144,35
-264.5,48,50
-263.5,26,19
-262.5,24,52
-261.5,52,56
-260.5,58,27
-259.5,27,23
-258.5,24,43
-257.5,26,18
-256.5,39,30
-255.5,26,46
-254.5,61,30
-253.5,26,67
-252.5,32,25
-251.5,35,33
-250.5,61,14
-249.5,25,25
-248.5,41,98
-247.5,30,24
-246.5,29,27
-245.5,22,23
-244.5,29,23
-243.5,32,19
-242.5,29,60
-241.5,38,22
-240.5,24,16
-239.5,36,38
-238.5,30,17
-237.5,26,41
-236.5,25,85
-235.5,49,44
-234.5,65,7
-233.5,30,24
-232.5,45,29
-231.5,187,30
-230.5,41,59
-229.5,38,29
-228.5,46,33
-227.5,42,49
-226.5,34,22
-225.5,57,29
-224.5,50,28
-223.5,30,19
-222.5,52,75
