Base index,HP0.6.4.GC_2#TOP,HP0.6.4.GC_2#BOT
1,33171,50457
2,554,1242
3,147,339
4,151,769
5,25,219
6,130,58
7,217,287
8,167,145
9,55,29
10,114,50
11,158,592
12,48,171
13,62,135
14,72,29
15,85,66
16,52,124
17,44,42
18,44,71
19,70,561
20,19,224
21,139,123
22,88,79
23,62,61
24,26,60
25,38,39
26,29,67
27,68,91
28,25,61
29,23,38
30,30,109
31,24,164
32,50,130
33,27,29
34,9,27
35,42,498
36,37,167
37,77,63
38,24,20
39,121,262
40,103,69
41,35,21
42,55,42
43,72,121
44,34,120
45,64,36
46,33,33
47,23,101
48,38,19
49,98,110
50,81,77
51,33,27
52,12,86
53,77,66
54,29,69
55,30,34
56,66,48
57,32,96
58,46,52
59,35,88
60,27,136
61,80,90
62,29,21
63,88,26
64,32,256
65,29,187
66,26,25
67,66,33
68,49,75
69,74,41
70,31,36
71,39,32
72,50,111
73,104,32
74,63,47
75,65,53
76,45,56
77,48,63
78,372,46
79,126,49
80,51,79
81,62,111
82,68,35
83,67,30
84,55,44
85,118,96
86,49,193
87,55,49
88,57,78
89,57,38
90,54,48
91,48,150
92,38,47
93,401,133
94,141,124
95,52,113
96,81,49
97,113,72
98,71,517
99,62,64
100,323,19
101,107,145
102,85,92
103,68,83
104,381,52
105,153,161
106,43,141
107,72,82
108,104,80
109,123,130
110,43,44
111,84,61
112,57,93
113,104,65
114,64,122
115,194,103
116,78,83
117,83,35
118,49,35
119,100,228
120,47,74
121,137,45
122,71,27
123,41,51
124,41,31
125,63,99
126,46,21
127,57,30
128,77,85
129,35,33
130,64,66
131,48,262
132,18,66
133,34,30
134,47,45
135,69,57
136,46,28
137,68,170
138,361,59
139,86,51
140,53,93
141,84,50
142,69,37
143,55,37
144,79,27
145,53,123
146,42,36
147,69,47
148,83,60
149,59,32
150,42,44
151,56,109
152,28,66
153,37,64
154,51,158
155,116,84
156,65,153
157,72,32
158,76,43
159,49,62
160,65,37
161,81,72
162,86,36
163,69,41
164,75,228
165,91,76
166,64,45
167,32,66
168,53,69
169,41,34
170,49,51
171,79,93
172,42,102
173,54,59
174,71,147
175,45,84
176,45,39
177,83,62
178,32,89
179,33,72
180,129,76
181,75,27
182,38,146
183,41,68
184,116,59
185,71,42
186,25,26
187,76,46
188,24,115
189,45,114
190,32,56
191,74,79
192,35,27
193,51,25
194,37,127
195,31,66
196,144,73
197,75,35
198,101,29
199,56,38
200,48,31
201,104,45
202,34,35
203,40,25
204,36,26
205,20,75
206,46,46
207,34,39
208,40,30
209,36,34
210,60,78
211,60,25
212,31,25
213,47,34
214,116,83
215,50,106
216,42,37
217,77,28
218,66,27
219,42,34
220,57,82
221,77,96
222,39,123
223,50,27
224,67,36
225,35,144
226,39,36
227,215,49
228,60,34
229,27,20
230,40,25
231,122,34
232,28,58
233,26,51
234,88,41
235,15,81
236,29,40
237,53,35
238,79,13
239,49,85
240,24,61
241,25,73
242,74,54
243,33,34
244,68,38
245,21,41
246,19,72
247,54,218
248,37,62
249,87,23
250,41,66
251,55,37
252,55,30
253,38,58
254,38,26
255,34,27
256,40,19
257,64,120
258,36,33
259,52,33
260,43,51
261,52,33
262,58,47
263,50,25
264,41,21
265,55,44
266,33,44
267,99,38
268,66,30
269,16,63
270,24,113
271,101,45
272,31,46
273,76,50
274,35,28
275,60,33
276,42,27
277,26,38
278,16,95
279,28,86
280,70,27
281,43,35
282,119,25
283,54,30
284,34,34
285,43,35
286,81,31
287,43,74
288,48,141
289,64,53
290,45,42
291,87,59
292,30,72
293,30,25
294,51,135
295,16,45
296,18,22
297,23,42
298,33,35
299,27,21
300,56,21
301,22,46
302,40,42
303,31,31
304,45,15
305,17,35
306,54,49
307,29,32
308,24,24
309,37,24
310,34,19
311,19,40
312,35,30
313,31,42
314,19,15
315,78,72
316,37,44
317,25,30
