Base index,HP0.6.4_3#TOP,HP0.6.4_3#BOT
1,59861,6477
2,1456,128
3,191,22
4,297,49
5,42,14
6,55,2
7,147,30
8,255,19
9,24,4
10,148,3
11,206,44
12,67,18
13,96,5
14,31,3
15,146,5
16,38,11
17,49,2
18,32,2
19,98,28
20,31,42
21,159,30
22,112,12
23,53,10
24,22,27
25,20,4
26,18,18
27,71,15
28,16,15
29,16,10
30,24,8
31,33,9
32,21,12
33,39,6
34,6,1
35,21,40
36,37,15
37,73,4
38,18,4
39,100,29
40,97,8
41,48,1
42,89,1
43,125,8
44,23,9
45,78,5
46,43,0
47,48,20
48,30,7
49,89,8
50,87,8
51,38,3
52,27,14
53,67,4
54,24,10
55,20,5
56,55,7
57,33,17
58,75,3
59,35,11
60,40,14
61,67,14
62,35,2
63,65,3
64,52,27
65,42,15
66,22,3
67,54,5
68,47,3
69,89,3
70,31,6
71,39,5
72,43,12
73,89,2
74,63,3
75,55,8
76,43,9
77,34,9
78,214,5
79,95,4
80,38,9
81,37,11
82,76,7
83,36,1
84,31,6
85,81,8
86,45,20
87,46,6
88,36,13
89,44,1
90,36,6
91,33,9
92,34,9
93,202,10
94,72,4
95,25,9
96,40,3
97,55,11
98,42,19
99,29,6
100,91,5
101,38,12
102,31,6
103,27,8
104,92,5
105,50,8
106,22,6
107,17,10
108,41,7
109,37,14
110,13,9
111,26,8
112,16,1
113,27,9
114,30,9
115,44,7
116,27,9
117,32,4
118,26,4
119,41,18
120,25,5
121,37,12
122,16,7
123,22,6
124,12,8
125,30,13
126,15,6
127,13,9
128,24,8
129,15,6
130,38,9
131,27,16
132,14,11
133,17,3
134,25,7
135,30,11
136,32,9
137,22,18
138,84,8
139,41,5
140,32,7
141,29,11
142,40,5
143,33,6
144,32,10
145,33,15
146,23,10
147,28,6
148,32,9
149,40,7
150,39,11
151,38,13
152,22,8
153,28,4
154,33,16
155,43,2
156,43,11
157,33,14
158,48,6
159,41,12
160,42,11
161,61,13
162,57,8
163,53,17
164,30,26
165,34,8
166,41,9
167,31,14
168,42,7
169,27,7
170,34,11
171,45,4
172,37,13
173,18,13
174,27,16
175,27,4
176,34,6
177,35,5
178,28,8
179,35,7
180,51,3
181,37,4
182,28,20
183,28,15
184,39,18
185,51,3
186,42,6
187,44,8
188,16,4
189,33,18
190,21,6
191,29,15
192,21,5
193,34,4
194,24,19
195,17,8
196,55,8
197,15,10
198,32,6
199,27,7
200,26,10
201,32,12
202,32,8
203,32,4
204,20,5
205,8,8
206,14,11
207,26,10
208,15,7
209,28,13
210,23,5
211,19,6
212,34,2
213,34,8
214,32,14
215,18,9
216,27,10
217,26,8
218,11,5
219,13,6
220,12,11
221,23,4
222,16,12
223,3,5
224,11,9
225,7,18
226,9,7
227,27,5
228,10,11
229,16,9
230,5,5
231,15,4
232,8,2
233,5,12
234,10,12
235,3,12
236,9,10
237,9,4
238,11,4
239,6,10
240,8,7
241,6,7
242,20,7
243,16,7
244,9,10
245,7,12
246,4,19
247,11,16
248,13,17
249,11,6
250,7,13
251,11,3
252,5,5
253,5,11
254,6,5
255,8,3
256,6,4
257,8,22
258,11,5
259,7,5
260,5,10
261,5,7
262,5,10
263,5,6
264,8,7
265,8,12
266,1,3
267,8,9
268,3,7
269,4,7
270,7,19
271,11,5
272,4,8
273,7,12
274,3,7
275,9,11
276,8,2
277,3,3
278,3,15
279,8,16
280,12,3
281,2,2
282,12,7
283,5,8
284,6,9
285,7,12
286,3,9
287,2,18
288,1,28
289,5,13
290,5,7
291,6,12
292,0,13
293,2,6
294,8,18
295,0,14
296,2,5
297,3,20
298,3,9
299,0,11
300,2,8
301,3,12
302,3,18
303,0,14
304,0,4
305,1,14
306,4,14
307,3,19
308,1,14
309,2,17
310,2,13
311,3,14
312,1,19
313,3,17
314,4,5
315,3,28
316,2,30
317,2,10
318,1,40
319,3,32
320,4,14
321,2,15
322,2,15
323,2,55
324,4,24
325,1,18
326,5,24
327,1,48
328,2,19
329,1,26
330,6,25
331,0,49
332,5,32
333,5,25
334,2,19
335,2,32
336,5,47
337,3,1155
338,2,117
339,1,49
340,3,128
341,97,64
342,7,91
343,5,77
344,11,124
345,12,182
346,0,98
347,17,204
348,12,236
349,31,128
350,9,100
351,5,93
352,12,280
353,13,207
354,10,178
355,6,164
356,11,363
357,19,173
358,12,294
359,26,309
360,23,320
361,38,962
362,41,834
363,48,1170
364,36,1632
365,62,2409
366,50,5099
367,80,6470
368,69,6041
369,65,5199
370,115,2890
371,72,1954
372,132,1037
373,116,761
374,98,442
375,97,379
376,111,627
377,104,409
378,141,199
379,98,513
380,199,198
381,119,290
382,259,453
383,199,299
384,245,132
385,171,411
386,219,296
387,175,390
388,155,179
389,154,316
390,92,218
391,120,158
392,104,126
393,85,194
394,50,253
395,58,135
396,77,193
397,87,199
398,68,242
399,64,843
400,42,156
401,46,117
402,75,249
403,42,194
404,29,102
405,30,203
406,28,192
407,37,108
408,11,217
409,13,96
410,35,179
411,164,228
412,33,115
413,22,187
414,34,127
415,16,156
416,11,167
417,36,88
418,20,111
419,30,136
420,22,227
421,18,92
422,15,131
423,17,358
424,18,251
425,31,142
426,15,88
427,34,119
428,23,130
429,6,101
430,16,161
431,14,160
432,13,306
433,9,128
434,20,337
435,18,263
436,25,179
437,5,174
438,11,185
439,20,146
440,7,158
441,10,113
442,17,131
443,14,125
444,30,216
445,26,173
446,14,141
447,20,227
448,7,265
449,12,97
450,6,89
451,15,102
452,4,270
453,18,110
454,11,117
455,13,129
456,21,218
457,20,108
458,13,148
459,12,104
460,24,70
461,11,82
462,7,96
463,13,88
464,18,153
465,11,181
466,14,117
467,85,133
468,16,119
469,12,111
470,23,73
471,40,115
472,13,104
473,5,111
474,11,75
475,14,85
476,21,390
477,7,112
478,4,63
479,16,160
480,10,87
481,14,99
482,21,165
483,13,91
484,13,84
485,17,113
486,9,107
487,22,123
488,3,89
489,17,132
490,12,123
491,7,56
492,12,58
493,4,135
494,17,171
495,9,110
496,10,115
497,12,126
498,35,126
499,21,99
500,11,159
501,11,92
502,4,156
503,9,107
504,12,78
505,5,100
506,7,107
507,8,80
508,24,140
509,11,90
510,11,126
511,5,209
512,9,142
513,10,80
514,10,121
515,8,124
516,5,212
517,13,145
518,7,142
519,19,131
520,6,149
521,8,103
522,6,141
523,9,233
524,8,132
525,5,159
526,18,168
527,8,187
528,8,153
529,15,213
530,17,167
531,6,144
532,3,103
533,14,103
534,19,149
535,8,127
536,17,128
537,16,156
538,13,166
539,16,89
540,12,147
541,14,220
542,10,189
543,14,180
544,12,149
545,14,163
546,7,108
547,6,198
548,20,69
549,10,107
550,12,143
551,5,171
552,10,191
553,9,162
554,13,114
555,8,118
556,14,153
557,10,141
558,13,76
559,22,114
560,9,114
561,15,126
562,9,167
563,20,145
564,11,136
565,13,176
566,27,185
567,9,99
568,8,160
569,8,90
570,9,97
571,9,180
572,17,100
573,4,85
574,1,105
575,9,111
576,39,165
577,2,84
578,8,103
579,5,110
580,17,179
581,10,142
582,4,123
583,17,108
584,7,140
585,9,66
586,21,130
587,2,119
588,5,93
589,11,71
590,16,95
591,15,63
592,7,62
593,8,112
594,8,90
595,6,61
596,9,91
597,4,94
598,15,118
599,5,98
600,5,94
601,8,109
602,5,71
603,18,100
604,13,45
605,7,35
606,4,94
607,6,78
608,8,63
609,8,62
610,7,52
611,12,63
612,4,50
613,9,41
614,8,52
615,7,57
616,17,30
617,5,33
618,14,44
619,6,39
620,10,22
621,15,16
622,6,14
623,2,40
624,6,21
625,3,13
626,2,13
627,7,20
628,5,7
629,4,19
630,0,5
631,8,11
632,5,10
633,6,9
634,6,14
635,7,17
636,12,10
637,3,9
638,6,6
639,1,10
640,3,15
641,1,11
642,0,8
643,3,9
