Base index shifted,HP0.6.4.GC#TOP#AVERAGE,HP0.6.4.GC#TOP#STD,HP0.6.4.GC#BOT#AVERAGE,HP0.6.4.GC#BOT#STD
-49.5,0.0005172862557665936,5.696038620634345e-05,0.0017662530176905714,0.00014343012122865014
-48.5,0.0005854132979971856,0.0001405400186513636,0.0017662530176905714,0.00014343012122865014
-47.5,0.0010250160227445544,0.00013450193373074404,0.00031839028025872605,0.00020812591307170503
-46.5,0.0008382752483902089,0.00017671212324474163,0.000866305812896103,7.373800326033097e-05
-45.5,0.001958212865812305,0.0004339366747253639,0.0012105115494010818,0.00010704058352763946
-44.5,0.0008096652531737907,0.00013192078524888463,0.002795069520457671,0.0008718907110796843
-43.5,0.0009741865153217596,0.00017404682283859925,0.0020511734948512753,0.0005957791740388664
-42.5,0.0013759655735937108,0.00015321628024758744,0.0010855768954316299,0.00014112779780179805
-41.5,0.001476038333132348,0.0003074617944619872,0.001328149405622226,0.00039069287588794664
-40.5,0.001499502475719514,6.112180798588852e-05,0.0014922124807655295,0.00021798094116599054
-39.5,0.0012922516992999262,0.0002663937225036328,0.0006039933413606685,0.00011978073564404699
-38.5,0.0009972613789004387,9.69164676298861e-05,0.0007138958468307968,0.0002634395348610084
-37.5,0.0011589582601959794,0.00014708978246692948,0.0007950146858712945,0.00025934883829300577
-36.5,0.0007287227934182675,0.0003016350497515764,0.00245946288844714,0.00033806113492852974
-35.5,0.0007358971466771259,9.030008691611805e-05,0.0010360275061152358,0.00042253927854618106
-34.5,0.025450694377528078,0.003194151807499359,0.0018583363342801911,0.00036382612949666094
-33.5,0.0033794675029592287,0.000828307815934866,0.0005906960050225563,0.0001833404634636645
-32.5,0.004075457131010224,0.0007312846301429179,0.00117295718967666,0.00014612239603029593
-31.5,0.002132390044541927,0.0005007278205897139,0.0020024081124657782,0.0006316664760633243
-30.5,0.002884027609992903,0.0006962516924326837,0.08576366305858364,0.007549969604545815
-29.5,0.003555405965540682,0.000505268389351493,0.006378005584574837,0.0011159134044334152
-28.5,0.002188189183445625,0.00046649918191026235,0.002015182358487722,0.0003273970265052849
-27.5,0.0018971369220063892,0.00011989155773375586,0.0023595753123825305,0.0009337780674108813
-26.5,0.0019704098168662337,0.000260786260803893,0.00264499720368228,0.00047213383158985586
-25.5,0.0037532008735681275,0.0005153781424697825,0.002848706999814678,0.00038349950979952685
-24.5,0.003470147984883577,0.00030072317550346726,0.0032063271242369134,0.0013334302175637433
-23.5,0.002943152846221163,0.00023365226152767651,0.004381365837089686,0.0011575209488297836
-22.5,0.002515534014667585,0.00018878522860205942,0.0033201971347542967,0.0008018990149792381
-21.5,0.0053886307458215705,0.0009735458022079241,0.003537736938542825,0.0004113729211920103
-20.5,0.003944298125164216,0.0003364431598515648,0.004258759251408298,0.0005147740936623606
-19.5,0.0027377704788852106,0.0002197511896341942,0.0033340319329113522,0.0005391923079124004
-18.5,0.0027083992478576673,0.000555152694291693,0.001508471979699383,0.0001695995111420478
-17.5,0.0017212490405321623,0.00037956588966606906,0.0020504788157347637,0.0003058384603176822
-16.5,0.003075314092407968,0.00023712953415100737,0.002635616368584437,0.0006147660111214106
-15.5,0.004851465964131364,0.0006789597794418163,0.00545580666617185,0.0008370957430936801
-14.5,0.00482274572375139,0.00023198318780136068,0.003248472245227705,0.00034166678601304677
-13.5,0.009414847816712665,0.0011419287406485318,0.0033774212900128716,0.0009143380052576543
-12.5,0.006187181466541122,0.0008087476536736749,0.0028940062912919656,0.00032687905655799817
-11.5,0.009467214925663466,0.0008488940850485681,0.004663477597692082,0.000274816465355368
-10.5,0.011051347290802017,0.0006724404503932123,0.0032949832585500356,7.52616759499723e-05
-9.5,0.009063537126431405,0.0006932983640286052,0.005545687874592,0.0008362336485934166
-8.5,0.010483142917190144,0.00035656707358197045,0.005140172169115335,0.00046478706280271765
-7.5,0.006793910271593436,0.0002694777284655042,0.006355311784549397,0.0005088127169554387
-6.5,0.02169825196875044,0.0018687510249606244,0.021429862533637874,0.001964134087718691
-5.5,0.009036865094093826,0.0009167848497952255,0.018307589359734838,0.0018091592464063216
-4.5,0.01808743202368617,0.0008427695368210149,0.03188887689477045,0.003023935161298757
-3.5,0.013929762975801853,0.0002653282322597072,0.03943646997275655,0.0013821083941512144
-2.5,0.024238905742200497,0.0029247266272006624,0.04574623089236986,0.002942319081344902
-1.5,0.019560808452719004,0.0008076223142336873,0.08426590435084735,0.008770742882945371
-0.5,0.012484051845465841,0.0009853152191831942,0.07745552461055309,0.006221874651649825
0.5,0.015753818618974316,0.0011290971118222098,0.06355414701153665,0.004343890935394809
1.5,0.018928978210786686,0.0003434082488637005,0.07963898272832413,0.003244587587475877
2.5,0.00837336166386308,0.0007613930496728447,0.040705156244800596,0.0035361110255937057
3.5,0.03060942290011598,0.0025369540133722856,0.03323915534945089,0.0017762706315652397
4.5,0.013433583746737284,0.0007846206441365789,0.030544658741018412,0.0022528229585413867
5.5,0.032619734923376505,0.0016644850673945717,0.009088487660910378,0.001300914970764353
6.5,0.022481707142322095,0.0011114893365698024,0.016171207916561663,0.0005302182418224514
7.5,0.04567193752535454,0.004691084954529119,0.010062491356933717,0.0005915322932914527
8.5,0.03892320049494711,0.0035649587469820713,0.008094610066286858,0.0007653849119249688
9.5,0.027200610378377312,0.002153087777063698,0.006364268438147305,0.0003930183279570352
10.5,0.0381809855389869,0.0027252743698150494,0.007391750119902581,0.00032512240411189375
11.5,0.03453535773141871,0.0035860089151473944,0.004403785368238413,0.0006629582599907818
12.5,0.022171708499686877,0.001785338773742447,0.003636156666648588,0.0003682148398440399
13.5,0.028507207857170053,0.0015461589291283209,0.005732790203688933,0.00047069312644985867
14.5,0.016263634165431272,0.0007602377717535587,0.004485684680795594,0.0005582233066525377
15.5,0.023974258682134764,0.0011825956336540334,0.003699809075411114,0.0008334557708568486
16.5,0.01875164903564572,0.0014123699552900388,0.0047408706862963525,0.0008728914278132176
17.5,0.011830162182873118,0.00018527543481644188,0.002685774642617171,0.00021807930778718282
18.5,0.0075140347402919555,0.000993930046317418,0.0017872107484680894,0.00019808233190115384
19.5,0.008311506162343569,0.0003388105394386958,0.001904149135071797,0.00034079098078736516
20.5,0.013841000484371745,0.0008834169441950763,0.0034356651592257347,0.00038012283189383864
21.5,0.012775866270347862,0.0012537501536737815,0.0029169657984330598,0.0006385172296039833
22.5,0.015446040755654469,0.002228212159160041,0.0033134113321468843,0.00024847115360642494
23.5,0.007819988391641965,0.0015971957844861599,0.0031753496735529517,0.00010796134308000645
24.5,0.006221967887210821,0.0009840937308740639,0.007704851426364213,0.001026385178267054
25.5,0.009019652977711802,0.0012468766247222386,0.004315600647972075,0.0005027268982874846
26.5,0.012454169008227288,0.001451662886067877,0.0026611709082159617,0.00027311500167235907
27.5,0.005962165083556677,0.0018521614011044608,0.003651630901564833,0.0006284076830226688
28.5,0.0055382498112689915,0.0019510135723318754,0.0037470897241615665,0.00015868812408138754
29.5,0.008280800497909281,0.001135153623006011,0.00299198746639502,0.000527173794743268
30.5,0.005085728663393261,0.00133515832633629,0.004254765279682995,0.0006332600611257938
31.5,0.006888712923972017,0.0006886629233617696,0.0387887466108671,0.0010982014190988021
32.5,0.0046474936309540155,0.0004627833129243348,0.002912001859473742,0.00043287112722558915
