Distance from 5'-end,HP4.0.4_2
0,32.54373174920315
1,32.818681465543165
2,33.04189748147356
3,33.17767004563952
4,32.99231879506318
5,35.04306352780803
6,34.75351317398481
7,34.64345376910278
8,34.66746964604312
9,34.75368022933358
10,34.30591509578954
11,35.67172621632999
12,37.42039478520023
13,37.382409739995055
14,37.436184856766744
15,37.381821705167354
16,37.36640583758211
17,37.32064603644479
18,37.369670099097235
19,37.30530367321301
20,37.32947992328818
21,37.31419101776801
22,37.78991787559054
23,37.714642735431106
24,37.95766483351264
25,38.03412940775538
26,37.95009722621299
27,37.957130256396546
28,37.990638218254475
29,38.01121275500999
30,38.040026461567244
31,37.963291257659485
32,38.04775110089475
33,38.03070143199845
34,37.95140025793346
35,37.949766456622406
36,37.71320940053859
37,37.79658338400679
38,37.772250101903765
39,37.67265170296223
40,37.72442883776253
41,37.72732223640337
42,37.83347254612398
43,37.922817087757515
44,37.77481273095402
45,37.81384354264255
46,37.98075522382076
47,37.957978897568346
48,37.912072087724106
49,37.884678351631464
50,37.85936278407762
51,37.86897180773934
52,37.865386799954564
53,37.82286119036959
54,37.77677396074868
55,37.89052862994567
56,37.675635311491405
57,37.71430528362657
58,37.780125091045164
59,37.709123226707476
60,37.54055769757636
61,37.59098168405156
62,37.617079070637686
63,37.69796058830212
64,37.71666410515132
65,37.64266192674957
66,37.88811300960234
67,37.93008065432239
68,37.85580450514865
69,37.82507968540137
70,37.71056658492092
71,37.68291892469813
72,37.84316843856707
73,37.904467728247724
74,37.88921891601125
75,37.53770773332621
