Distance from 5'-end,HP0.10.4_2
0,32.813662833998904
1,32.9110163780935
2,33.159634986274746
3,33.159191664124954
4,33.056748781750734
5,34.639036465906756
6,35.056812620140306
7,35.00283016860428
8,35.01342379469574
9,35.06938168973124
10,34.33316546201261
11,35.64805541172215
12,37.4616295812911
13,37.442506437037615
14,37.431941183563744
15,37.37091168313461
16,37.41540704066505
17,37.36371213142196
18,37.368879494399955
19,37.321990197260625
20,37.38869422120711
21,37.37889857498528
22,37.87576694731914
23,37.81284712124329
24,37.94763833424362
25,38.047694370163356
26,37.97762109787844
27,37.98977876451437
28,38.02742213489761
29,38.022825770848556
30,38.05946900646186
31,37.98101517225725
32,38.06767578609884
33,38.03092969974677
34,37.95494782984941
35,37.932005021953316
36,37.797689050297556
37,37.869436307020095
38,37.827852689369486
39,37.776923840801246
40,37.81790808690533
41,37.78391769103638
42,37.791606670402395
43,37.90301529993403
44,37.88410849688965
45,37.902355636575145
46,38.01942460331534
47,38.01863371660011
48,38.00611075251275
49,37.96672246614792
50,37.899188543137015
51,37.91851384229081
52,37.88067186358445
53,37.85553017782538
54,37.850774217802396
55,37.92846553790936
56,37.84464218582646
57,37.84451805562452
58,37.882406139834444
59,37.93445925337457
60,37.79316716436967
61,37.855881288968014
62,37.83623679786638
63,37.92202850029437
64,37.90939204573666
65,37.85278867365106
66,38.00404664458331
67,38.046594931231866
68,37.93815478681525
69,37.96102311659018
70,37.92535873628361
71,37.932295841283576
72,38.02429405380867
73,38.03317468311333
74,38.01752718451422
75,37.68156347309212
