Base index shifted,HP4.6.4_2#TOP,HP4.6.4_2#BOT
-374.5,55376,0
-373.5,1158,0
-372.5,165,0
-371.5,292,0
-370.5,49,0
-369.5,81,0
-368.5,167,17675
-367.5,250,333
-366.5,55,61
-365.5,173,139
-364.5,200,56
-363.5,53,14
-362.5,87,70
-361.5,49,38
-360.5,141,16
-359.5,41,8
-358.5,56,110
-357.5,44,49
-356.5,136,28
-355.5,51,7
-354.5,194,14
-353.5,175,11
-352.5,68,8
-351.5,40,10
-350.5,28,103
-349.5,34,47
-348.5,115,29
-347.5,38,13
-346.5,28,10
-345.5,34,22
-344.5,33,8
-343.5,38,22
-342.5,45,24
-341.5,14,15
-340.5,35,17
-339.5,62,24
-338.5,131,23
-337.5,43,30
-336.5,116,5
-335.5,117,7
-334.5,60,80
-333.5,95,24
-332.5,119,14
-331.5,46,3
-330.5,102,52
-329.5,85,10
-328.5,55,7
-327.5,41,6
-326.5,126,21
-325.5,110,22
-324.5,61,10
-323.5,40,2
-322.5,87,25
-321.5,47,5
-320.5,23,21
-319.5,117,17
-318.5,55,7
-317.5,95,21
-316.5,46,11
-315.5,36,13
-314.5,114,12
-313.5,57,6
-312.5,125,11
-311.5,93,14
-310.5,54,21
-309.5,44,21
-308.5,111,12
-307.5,74,8
-306.5,100,6
-305.5,45,53
-304.5,66,23
-303.5,68,11
-302.5,129,18
-301.5,82,23
-300.5,69,7
-299.5,71,13
-298.5,51,8
-297.5,392,17
-296.5,137,10
-295.5,63,23
-294.5,70,18
-293.5,145,11
-292.5,71,14
-291.5,61,5
-290.5,137,6
-289.5,55,10
-288.5,80,25
-287.5,79,11
-286.5,77,6
-285.5,56,19
-284.5,61,22
-283.5,61,26
-282.5,461,11
-281.5,111,13
-280.5,68,6
-279.5,90,10
-278.5,104,33
-277.5,61,7
-276.5,59,23
-275.5,222,20
-274.5,89,17
-273.5,80,16
-272.5,61,19
-271.5,214,83
-270.5,99,12
-269.5,31,7
-268.5,35,24
-267.5,87,14
-266.5,89,32
-265.5,48,16
-264.5,58,38
-263.5,39,30
-262.5,75,12
-261.5,61,21
-260.5,119,19
-259.5,58,14
-258.5,61,18
-257.5,55,25
-256.5,95,24
-255.5,42,21
-254.5,104,24
-253.5,98,19
-252.5,45,17
-251.5,47,22
-250.5,57,36
-249.5,54,21
