Base index shifted,HP0.6.4.GC_1#TOP,HP0.6.4.GC_1#BOT
-374.5,36247,0
-373.5,554,0
-372.5,144,0
-371.5,183,0
-370.5,28,0
-369.5,121,0
-368.5,172,0
-367.5,160,0
-366.5,62,56195
-365.5,103,1346
-364.5,137,340
-363.5,45,757
-362.5,54,209
-361.5,49,44
-360.5,81,255
-359.5,37,148
-358.5,40,40
-357.5,39,35
-356.5,47,566
-355.5,37,160
-354.5,122,94
-353.5,80,39
-352.5,63,81
-351.5,35,100
-350.5,31,42
-349.5,24,54
-348.5,58,462
-347.5,22,162
-346.5,20,101
-345.5,27,83
-344.5,29,46
-343.5,35,47
-342.5,26,29
-341.5,15,87
-340.5,27,80
-339.5,25,49
-338.5,64,44
-337.5,20,92
-336.5,96,145
-335.5,91,123
-334.5,37,34
-333.5,54,21
-332.5,79,507
-331.5,37,154
-330.5,56,47
-329.5,32,23
-328.5,28,249
-327.5,26,51
-326.5,97,19
-325.5,66,29
-324.5,37,120
-323.5,22,111
-322.5,65,46
-321.5,27,20
-320.5,12,73
-319.5,46,17
-318.5,25,100
-317.5,49,51
-316.5,35,31
-315.5,29,81
-314.5,71,61
-313.5,31,66
-312.5,71,22
-311.5,35,53
-310.5,22,103
-309.5,19,53
-308.5,59,95
-307.5,36,140
-306.5,58,79
-305.5,34,15
-304.5,37,28
-303.5,38,259
-302.5,84,157
-301.5,53,23
-300.5,47,29
-299.5,29,62
-298.5,46,53
-297.5,322,39
-296.5,108,43
-295.5,30,121
-294.5,50,27
-293.5,52,60
-292.5,39,39
-291.5,28,48
-290.5,90,77
-289.5,43,43
-288.5,40,56
-287.5,28,77
-286.5,51,104
-285.5,28,34
-284.5,31,29
-283.5,28,53
-282.5,293,80
-281.5,82,151
-280.5,43,58
-279.5,68,82
-278.5,79,31
-277.5,39,41
-276.5,31,125
-275.5,198,29
-274.5,82,107
-273.5,53,106
-272.5,55,91
-271.5,257,38
-270.5,114,54
-269.5,30,404
-268.5,43,49
-267.5,93,16
-266.5,112,114
-265.5,35,77
-264.5,54,87
-263.5,40,31
-262.5,70,144
-261.5,34,135
-260.5,129,68
-259.5,64,51
-258.5,49,102
-257.5,54,36
-256.5,104,65
-255.5,40,86
-254.5,79,56
-253.5,52,127
-252.5,28,82
-251.5,40,73
-250.5,61,35
-249.5,32,25
-248.5,25,209
-247.5,53,69
-246.5,25,65
-245.5,43,37
-244.5,43,47
-243.5,16,22
-242.5,25,80
-241.5,49,19
-240.5,39,33
-239.5,39,77
-238.5,55,46
-237.5,272,64
-236.5,67,182
-235.5,60,66
