Base index,HPSA0.6.4_1#TOP,HPSA0.6.4_1#BOT
1,107195,42822
2,3385,679
3,1336,177
4,394,22
5,462,241
6,142,177
7,554,58
8,154,65
9,353,88
10,27,10
11,146,11
12,152,37
13,281,15
14,123,21
15,30,37
16,357,73
17,196,23
18,204,5
19,166,8
20,297,9
21,281,2
22,185,4
23,303,20
24,56,3
25,255,8
26,245,2
27,129,22
28,149,3
29,280,8
30,113,9
31,115,3
32,329,2
33,130,5
34,97,5
35,255,16
36,77,12
37,213,7
38,259,9
39,149,6
40,50,3
41,19,12
42,108,9
43,21,6
44,48,11
45,121,6
46,183,13
47,30,7
48,102,7
49,13,4
50,174,3
51,88,3
52,81,4
53,53,37
54,167,10
55,28,0
56,23,17
57,23,6
58,180,12
59,128,5
60,49,62
61,95,9
62,30,10
63,23,26
64,248,6
65,118,3
66,62,5
67,24,13
68,55,0
69,25,9
70,52,10
71,93,12
72,56,23
73,16,1
74,31,5
75,29,24
76,83,19
77,20,8
78,8,8
79,58,5
80,35,9
81,45,9
82,32,5
83,79,12
84,90,8
85,14,0
86,73,12
87,113,4
88,21,3
89,30,5
90,250,3
91,103,13
92,95,2
93,61,12
94,51,4
95,54,3
96,52,8
97,47,4
98,64,44
99,30,12
100,29,9
101,51,1
102,56,42
103,32,8
104,70,6
105,31,18
106,44,5
107,84,5
108,51,13
109,33,11
110,28,19
111,53,18
112,82,10
113,25,17
114,21,12
115,19,23
116,65,10
117,15,12
118,24,15
119,22,8
120,27,13
121,23,13
122,8,7
123,11,4
124,6,14
125,26,16
126,12,13
127,15,15
128,29,21
129,13,15
130,42,4
131,44,12
132,20,7
133,39,8
134,48,12
135,34,14
136,32,9
137,38,3
138,12,1
139,11,19
140,20,19
141,14,25
142,7,7
143,28,7
144,12,24
145,24,10
146,11,12
147,41,12
148,21,9
149,23,1
150,38,7
151,54,8
152,19,30
153,8,11
154,25,5
155,40,8
156,12,21
157,21,12
158,10,15
159,46,18
160,20,33
161,36,14
162,14,27
163,16,15
164,30,7
165,11,28
166,13,7
167,27,15
168,14,4
169,26,9
170,16,9
171,39,9
172,12,13
173,19,11
174,23,5
175,22,6
176,40,21
177,4,10
178,21,22
179,20,10
180,47,2
181,22,11
182,36,16
183,14,30
184,10,24
185,26,19
186,26,0
187,24,5
188,15,5
189,11,17
190,11,16
191,9,7
192,12,11
193,9,11
194,7,12
195,3,7
196,27,23
197,5,9
198,14,12
199,21,19
200,11,20
201,19,3
202,28,19
203,12,18
204,6,16
205,24,50
206,22,11
207,20,6
208,7,11
209,7,9
210,20,13
211,12,14
212,24,8
213,21,7
214,11,13
215,8,23
216,8,30
217,23,7
218,10,10
219,41,11
220,7,37
221,10,7
222,13,12
223,10,13
224,18,13
225,18,15
226,21,3
227,3,24
228,25,10
229,18,27
230,25,26
231,8,28
232,9,18
233,12,14
234,10,16
235,15,15
236,17,20
237,5,19
238,9,20
239,21,12
240,23,7
241,14,24
242,23,10
243,26,4
244,22,9
245,23,3
246,17,32
247,12,11
248,17,19
249,17,13
250,22,7
251,19,7
252,2,27
253,8,23
254,6,13
255,3,14
256,6,12
257,5,8
258,3,21
259,13,10
260,6,3
261,4,10
262,8,15
263,0,19
264,5,28
265,9,11
266,7,21
267,8,19
268,6,41
269,5,13
270,7,11
271,6,9
272,10,18
273,2,30
274,8,29
275,6,30
276,14,22
277,7,30
278,3,31
279,0,24
280,2,22
281,6,15
282,5,23
283,5,30
284,3,34
285,2,20
286,8,12
287,4,53
288,3,16
289,0,45
290,0,18
291,3,72
292,0,27
293,0,84
294,1,40
295,2,59
296,2,35
297,2,27
298,4,92
299,6,42
300,3,51
301,4,74
302,1,34
303,4,52
304,0,38
305,1,46
306,1,35
307,3,47
308,1,80
309,4,104
310,2,49
311,3,35
312,6,82
313,2,32
314,2,36
315,6,70
316,11,134
317,6,182
318,1,73
319,6,214
320,1,176
321,7,188
322,4,158
323,8,199
324,16,121
325,2,104
326,2,98
327,12,149
328,3,73
329,14,89
330,5,220
331,2,118
332,18,207
333,9,244
334,36,105
335,22,120
336,45,133
337,60,329
338,41,290
339,48,345
340,44,278
341,33,513
342,86,396
343,86,582
344,166,522
345,181,430
346,185,2278
347,128,986
348,432,2591
349,242,3314
350,664,3763
351,504,16688
352,590,18262
353,1165,15484
354,662,16678
355,1286,4640
356,258,3995
357,1015,1605
358,921,747
359,578,568
360,687,555
361,614,779
362,742,496
363,1206,272
364,471,397
365,1953,324
366,590,181
367,2835,470
368,1863,175
369,2749,111
370,1498,158
371,2423,65
372,2075,195
373,1001,57
374,1611,175
375,533,109
376,990,53
377,783,52
378,442,75
379,265,72
380,276,82
381,364,83
382,293,106
383,426,100
384,174,46
385,140,95
386,142,32
387,207,121
388,103,52
389,87,39
390,102,59
391,44,54
392,121,29
393,60,74
394,52,35
395,95,38
396,18,88
397,14,48
398,16,15
399,63,36
400,10,27
401,17,80
402,32,59
403,81,49
404,35,40
405,99,40
406,32,29
407,87,33
408,70,34
409,47,38
410,32,56
411,14,29
412,1,54
413,3,20
414,13,30
415,9,29
416,30,29
417,12,38
418,1,22
419,38,36
420,48,34
421,33,18
422,6,53
423,1,48
424,13,15
425,4,40
426,2,63
427,10,64
428,1,52
429,2,32
430,8,39
431,15,27
432,4,50
433,2,15
434,2,27
435,8,17
436,6,36
437,14,17
438,3,47
439,6,25
440,3,24
441,17,30
442,6,22
443,0,10
444,5,33
445,4,14
446,3,31
447,24,95
448,6,16
449,1,24
450,7,47
451,3,39
452,5,14
453,4,35
454,7,17
455,2,17
456,1,63
457,11,10
458,20,12
459,3,26
460,2,24
461,9,43
462,3,31
463,6,29
464,6,42
465,9,74
466,5,56
467,7,35
468,12,52
469,14,58
470,4,14
471,11,15
472,8,70
473,16,24
474,11,14
475,5,16
476,21,33
477,3,23
478,4,45
479,9,39
480,12,68
481,3,19
482,4,60
483,7,27
484,0,32
485,5,42
486,1,10
487,3,53
488,4,39
489,12,90
490,5,56
491,2,57
492,3,45
493,14,7
494,7,42
495,20,26
496,0,65
497,3,43
498,10,54
499,7,35
500,7,11
501,10,20
502,3,31
503,3,14
504,23,13
505,10,70
506,3,14
507,1,5
508,4,40
509,3,14
510,6,79
511,8,14
512,8,26
513,3,45
514,2,23
515,11,16
516,3,15
517,10,18
518,3,26
519,5,34
520,29,12
521,8,45
522,7,53
523,5,27
524,8,9
525,10,12
526,11,60
527,4,20
528,10,35
529,7,7
530,14,11
531,7,8
532,8,20
533,4,10
534,3,4
535,10,25
536,15,17
537,4,25
538,0,9
539,3,34
540,2,38
541,2,15
542,8,27
543,4,7
544,2,11
545,5,17
546,7,4
547,8,69
548,15,16
549,5,26
550,7,14
551,7,11
552,4,16
553,11,23
554,6,8
555,13,27
556,11,18
557,8,7
558,7,5
559,4,26
560,7,4
561,11,11
562,17,7
563,4,78
564,3,12
565,4,22
566,10,23
567,5,26
568,11,15
569,9,16
570,6,8
571,3,21
572,6,7
573,1,9
574,15,4
575,6,3
576,8,6
577,2,1
578,4,27
579,4,5
580,0,1
581,16,21
582,5,15
583,2,8
584,2,3
585,6,3
586,3,19
587,9,3
588,7,22
589,10,4
590,3,4
591,12,3
592,10,11
593,8,9
594,5,4
595,16,0
596,4,2
597,3,20
598,12,8
599,5,6
600,1,8
601,3,2
602,5,11
603,6,3
604,3,16
605,4,8
606,4,8
607,5,4
608,3,3
609,2,3
610,3,2
611,4,0
612,3,3
613,3,1
614,0,4
615,3,0
616,0,1
617,2,1
618,0,7
619,1,1
620,0,7
622,2,4
623,3,0
624,3,0
625,1,1
626,2,3
627,5,0
628,1,0
629,1,0
630,1,0
632,3,0
634,1,0
637,3,0
639,1,0
642,2,0
643,1,0
644,1,0
645,1,0
