Base index shifted,HPSA0.6.4_1#TOP,HPSA0.6.4_1#BOT
-359.5,107195,0
-358.5,3385,0
-357.5,1336,0
-356.5,394,0
-355.5,462,0
-354.5,142,0
-353.5,554,0
-352.5,154,0
-351.5,353,42822
-350.5,27,679
-349.5,146,177
-348.5,152,22
-347.5,281,241
-346.5,123,177
-345.5,30,58
-344.5,357,65
-343.5,196,88
-342.5,204,10
-341.5,166,11
-340.5,297,37
-339.5,281,15
-338.5,185,21
-337.5,303,37
-336.5,56,73
-335.5,255,23
-334.5,245,5
-333.5,129,8
-332.5,149,9
-331.5,280,2
-330.5,113,4
-329.5,115,20
-328.5,329,3
-327.5,130,8
-326.5,97,2
-325.5,255,22
-324.5,77,3
-323.5,213,8
-322.5,259,9
-321.5,149,3
-320.5,50,2
-319.5,19,5
-318.5,108,5
-317.5,21,16
-316.5,48,12
-315.5,121,7
-314.5,183,9
-313.5,30,6
-312.5,102,3
-311.5,13,12
-310.5,174,9
-309.5,88,6
-308.5,81,11
-307.5,53,6
-306.5,167,13
-305.5,28,7
-304.5,23,7
-303.5,23,4
-302.5,180,3
-301.5,128,3
-300.5,49,4
-299.5,95,37
-298.5,30,10
-297.5,23,0
-296.5,248,17
-295.5,118,6
-294.5,62,12
-293.5,24,5
-292.5,55,62
-291.5,25,9
-290.5,52,10
-289.5,93,26
-288.5,56,6
-287.5,16,3
-286.5,31,5
-285.5,29,13
-284.5,83,0
-283.5,20,9
-282.5,8,10
-281.5,58,12
-280.5,35,23
-279.5,45,1
-278.5,32,5
-277.5,79,24
-276.5,90,19
-275.5,14,8
-274.5,73,8
-273.5,113,5
-272.5,21,9
-271.5,30,9
-270.5,250,5
-269.5,103,12
-268.5,95,8
-267.5,61,0
-266.5,51,12
-265.5,54,4
-264.5,52,3
-263.5,47,5
-262.5,64,3
-261.5,30,13
-260.5,29,2
-259.5,51,12
-258.5,56,4
-257.5,32,3
-256.5,70,8
-255.5,31,4
-254.5,44,44
-253.5,84,12
-252.5,51,9
-251.5,33,1
-250.5,28,42
-249.5,53,8
-248.5,82,6
-247.5,25,18
-246.5,21,5
-245.5,19,5
-244.5,65,13
-243.5,15,11
-242.5,24,19
-241.5,22,18
-240.5,27,10
-239.5,23,17
-238.5,8,12
-237.5,11,23
-236.5,6,10
-235.5,26,12
-234.5,12,15
-233.5,15,8
-232.5,29,13
-231.5,13,13
-230.5,42,7
-229.5,44,4
-228.5,20,14
-227.5,39,16
-226.5,48,13
-225.5,34,15
-224.5,32,21
-223.5,38,15
-222.5,12,4
-221.5,11,12
-220.5,20,7
-219.5,14,8
-218.5,7,12
-217.5,28,14
-216.5,12,9
-215.5,24,3
-214.5,11,1
-213.5,41,19
-212.5,21,19
-211.5,23,25
-210.5,38,7
-209.5,54,7
-208.5,19,24
-207.5,8,10
-206.5,25,12
-205.5,40,12
-204.5,12,9
-203.5,21,1
-202.5,10,7
-201.5,46,8
-200.5,20,30
-199.5,36,11
-198.5,14,5
-197.5,16,8
-196.5,30,21
-195.5,11,12
-194.5,13,15
-193.5,27,18
-192.5,14,33
-191.5,26,14
-190.5,16,27
-189.5,39,15
-188.5,12,7
-187.5,19,28
-186.5,23,7
-185.5,22,15
-184.5,40,4
-183.5,4,9
-182.5,21,9
-181.5,20,9
-180.5,47,13
-179.5,22,11
-178.5,36,5
-177.5,14,6
-176.5,10,21
-175.5,26,10
-174.5,26,22
-173.5,24,10
-172.5,15,2
-171.5,11,11
-170.5,11,16
-169.5,9,30
-168.5,12,24
-167.5,9,19
-166.5,7,0
-165.5,3,5
-164.5,27,5
-163.5,5,17
-162.5,14,16
-161.5,21,7
-160.5,11,11
-159.5,19,11
-158.5,28,12
-157.5,12,7
-156.5,6,23
-155.5,24,9
-154.5,22,12
-153.5,20,19
-152.5,7,20
-151.5,7,3
-150.5,20,19
-149.5,12,18
-148.5,24,16
-147.5,21,50
-146.5,11,11
-145.5,8,6
-144.5,8,11
-143.5,23,9
-142.5,10,13
-141.5,41,14
-140.5,7,8
-139.5,10,7
-138.5,13,13
-137.5,10,23
-136.5,18,30
-135.5,18,7
-134.5,21,10
-133.5,3,11
-132.5,25,37
-131.5,18,7
-130.5,25,12
-129.5,8,13
-128.5,9,13
-127.5,12,15
-126.5,10,3
-125.5,15,24
-124.5,17,10
-123.5,5,27
-122.5,9,26
-121.5,21,28
-120.5,23,18
-119.5,14,14
-118.5,23,16
-117.5,26,15
-116.5,22,20
-115.5,23,19
-114.5,17,20
-113.5,12,12
-112.5,17,7
-111.5,17,24
-110.5,22,10
-109.5,19,4
-108.5,2,9
-107.5,8,3
-106.5,6,32
-105.5,3,11
-104.5,6,19
-103.5,5,13
-102.5,3,7
-101.5,13,7
-100.5,6,27
-99.5,4,23
-98.5,8,13
-97.5,0,14
-96.5,5,12
-95.5,9,8
-94.5,7,21
-93.5,8,10
-92.5,6,3
-91.5,5,10
-90.5,7,15
-89.5,6,19
-88.5,10,28
-87.5,2,11
-86.5,8,21
-85.5,6,19
-84.5,14,41
-83.5,7,13
-82.5,3,11
-81.5,0,9
-80.5,2,18
-79.5,6,30
-78.5,5,29
-77.5,5,30
-76.5,3,22
-75.5,2,30
-74.5,8,31
-73.5,4,24
-72.5,3,22
-71.5,0,15
-70.5,0,23
-69.5,3,30
-68.5,0,34
-67.5,0,20
-66.5,1,12
-65.5,2,53
-64.5,2,16
-63.5,2,45
-62.5,4,18
-61.5,6,72
-60.5,3,27
-59.5,4,84
-58.5,1,40
-57.5,4,59
-56.5,0,35
-55.5,1,27
-54.5,1,92
-53.5,3,42
-52.5,1,51
-51.5,4,74
-50.5,2,34
-49.5,3,52
-48.5,6,38
-47.5,2,46
-46.5,2,35
-45.5,6,47
-44.5,11,80
-43.5,6,104
-42.5,1,49
-41.5,6,35
-40.5,1,82
-39.5,7,32
-38.5,4,36
-37.5,8,70
-36.5,16,134
-35.5,2,182
-34.5,2,73
-33.5,12,214
-32.5,3,176
-31.5,14,188
-30.5,5,158
-29.5,2,199
-28.5,18,121
-27.5,9,104
-26.5,36,98
-25.5,22,149
-24.5,45,73
-23.5,60,89
-22.5,41,220
-21.5,48,118
-20.5,44,207
-19.5,33,244
-18.5,86,105
-17.5,86,120
-16.5,166,133
-15.5,181,329
-14.5,185,290
-13.5,128,345
-12.5,432,278
-11.5,242,513
-10.5,664,396
-9.5,504,582
-8.5,590,522
-7.5,1165,430
-6.5,662,2278
-5.5,1286,986
-4.5,258,2591
-3.5,1015,3314
-2.5,921,3763
-1.5,578,16688
-0.5,687,18262
0.5,614,15484
1.5,742,16678
2.5,1206,4640
3.5,471,3995
4.5,1953,1605
5.5,590,747
6.5,2835,568
7.5,1863,555
8.5,2749,779
9.5,1498,496
10.5,2423,272
11.5,2075,397
12.5,1001,324
13.5,1611,181
14.5,533,470
15.5,990,175
16.5,783,111
17.5,442,158
18.5,265,65
19.5,276,195
20.5,364,57
21.5,293,175
22.5,426,109
23.5,174,53
24.5,140,52
25.5,142,75
26.5,207,72
27.5,103,82
28.5,87,83
29.5,102,106
30.5,44,100
31.5,121,46
32.5,60,95
33.5,52,32
34.5,95,121
35.5,18,52
36.5,14,39
37.5,16,59
38.5,63,54
39.5,10,29
40.5,17,74
41.5,32,35
42.5,81,38
43.5,35,88
44.5,99,48
45.5,32,15
46.5,87,36
47.5,70,27
48.5,47,80
49.5,32,59
50.5,14,49
51.5,1,40
52.5,3,40
53.5,13,29
54.5,9,33
55.5,30,34
56.5,12,38
57.5,1,56
58.5,38,29
59.5,48,54
60.5,33,20
61.5,6,30
62.5,1,29
63.5,13,29
64.5,4,38
65.5,2,22
66.5,10,36
67.5,1,34
68.5,2,18
69.5,8,53
70.5,15,48
71.5,4,15
72.5,2,40
73.5,2,63
74.5,8,64
75.5,6,52
76.5,14,32
77.5,3,39
78.5,6,27
79.5,3,50
80.5,17,15
81.5,6,27
82.5,0,17
83.5,5,36
84.5,4,17
85.5,3,47
86.5,24,25
87.5,6,24
88.5,1,30
89.5,7,22
90.5,3,10
91.5,5,33
92.5,4,14
93.5,7,31
94.5,2,95
95.5,1,16
96.5,11,24
97.5,20,47
98.5,3,39
99.5,2,14
100.5,9,35
101.5,3,17
102.5,6,17
103.5,6,63
104.5,9,10
105.5,5,12
106.5,7,26
107.5,12,24
108.5,14,43
109.5,4,31
110.5,11,29
111.5,8,42
112.5,16,74
113.5,11,56
114.5,5,35
115.5,21,52
116.5,3,58
117.5,4,14
118.5,9,15
119.5,12,70
120.5,3,24
121.5,4,14
122.5,7,16
123.5,0,33
124.5,5,23
125.5,1,45
126.5,3,39
127.5,4,68
128.5,12,19
129.5,5,60
130.5,2,27
131.5,3,32
132.5,14,42
133.5,7,10
134.5,20,53
135.5,0,39
136.5,3,90
137.5,10,56
138.5,7,57
139.5,7,45
140.5,10,7
141.5,3,42
142.5,3,26
143.5,23,65
144.5,10,43
145.5,3,54
146.5,1,35
147.5,4,11
148.5,3,20
149.5,6,31
150.5,8,14
151.5,8,13
152.5,3,70
153.5,2,14
154.5,11,5
155.5,3,40
156.5,10,14
157.5,3,79
158.5,5,14
159.5,29,26
160.5,8,45
161.5,7,23
162.5,5,16
163.5,8,15
164.5,10,18
165.5,11,26
166.5,4,34
167.5,10,12
168.5,7,45
169.5,14,53
170.5,7,27
171.5,8,9
172.5,4,12
173.5,3,60
174.5,10,20
175.5,15,35
176.5,4,7
177.5,0,11
