Base index,HPSA0.6.4_2#TOP,HPSA0.6.4_2#BOT
-49.5,0,0.0008665680012463
-48.5,0.000940529590507886,0.0005160461131017292
-47.5,0.0016640138908985676,0.001139196136469855
-46.5,0.0002893937201562726,0.000593939866022745
-45.5,0.0007958327304297497,0.0006718336189437608
-44.5,0.0007234843003906816,0.0014994547437295529
-43.5,0.0007958327304297497,0.0018402399127589967
-42.5,0,0.0012365633276211249
-41.5,0.0014469686007813631,0.00041867892195045957
-40.5,0.0002893937201562726,0.0010807758217790933
-39.5,0.0007958327304297497,0.0005355195513319831
-38.5,0.0004340905802344089,0.0004965726748714754
-37.5,0.0025321950513673853,0.0011197226982396012
-36.5,0.0011575748806250904,0.001139196136469855
-35.5,7.234843003906815e-05,0.0034662720049852
-34.5,0.0003617421501953408,0.0008178844056706652
-33.5,0.0018087107509767038,0.003758373578439009
-32.5,0.0007234843003906816,0.00356363919613647
-31.5,0.0016640138908985676,0.00301838292568936
-30.5,0.0005064390102734771,0.002619177441969154
-29.5,0.00021704529011720445,0.003524692319675962
-28.5,0.001881059181015772,0.0017331360024926
-27.5,0.0008681811604688178,0.00205444773329179
-26.5,0.002387498191289249,0.001772082878953108
-25.5,0.0007958327304297497,0.003544165757906216
-24.5,0.0008681811604688178,0.0010905125408942203
-23.5,0.0014469686007813631,0.002103131328867425
-22.5,0.0017363623209376356,0.005627823648543387
-21.5,0.0012299233106641586,0.0018207664745287428
-20.5,0.0014469686007813631,0.0036317962299423586
-19.5,0.0013022717407032266,0.0045470478267642936
-18.5,0.0031833309217189987,0.00227839227293971
-17.5,0.0011575748806250904,0.0019278703847951395
-16.5,0.004774996382578498,0.0013339305187723945
-15.5,0.004557951092461294,0.005861504907306434
-14.5,0.0029662856316017942,0.00465415173703069
-13.5,0.00470264795253943,0.004887832995793737
-12.5,0.012443929966719723,0.003953107960741549
-11.5,0.00586022283316452,0.010320922262034585
-10.5,0.01917233396035306,0.004965726748714753
-9.5,0.011648097236289973,0.00821779093316716
-8.5,0.017870062219649832,0.007847795606792335
-7.5,0.023730285052814354,0.006406761177753544
-6.5,0.01490377658804804,0.02898621280573298
-5.5,0.047315873245550574,0.013329568468608818
-4.5,0.010273477065547678,0.028528587007322012
-3.5,0.03718709304008103,0.031761177753544166
-2.5,0.027998842425119373,0.0330366879576258
-1.5,0.020112863550860945,0.1225073999065275
-0.5,0.019751121400665605,0.13324700109051255
0.5,0.014831428158008971,0.12191346004050475
1.5,0.016640138908985674,0.12405553824583268
2.5,0.028288236145275647,0.03831398971802461
3.5,0.0113587035161337,0.04383470945630161
4.5,0.055635942700043406,0.018197928026172303
5.5,0.017870062219649832,0.009814612868047983
6.5,0.06692229778613804,0.0066501791556317184
7.5,0.026841267544494285,0.007399906527496495
8.5,0.04912458399652728,0.011499065274964948
9.5,0.03508898856894806,0.008548839383081477
10.5,0.04630299522500362,0.004177052500389469
11.5,0.04246852843293301,0.0077017448200654304
12.5,0.016567790478946607,0.004400997040037389
13.5,0.04348140645347996,0.0034370618476398194
14.5,0.013818550137462016,0.008480682349275587
15.5,0.020908696281290697,0.004313366568001247
16.5,0.017001881059181014,0.0019083969465648854
17.5,0.010273477065547678,0.005004673625175261
18.5,0.0057878744031254524,0.002404969621436361
19.5,0.005209086962812907,0.006572285402710702
20.5,0.011431051946172768,0.0012560367658513787
21.5,0.007741282014180292,0.006494391649789687
22.5,0.014324989147735494,0.0021907618009035677
23.5,0.005209086962812907,0.0012560367658513787
24.5,0.003472724641875271,0.0012949836423118866
25.5,0.0036174215019534077,0.0014994547437295529
26.5,0.007234843003906815,0.0031352235550708833
27.5,0.005209086962812907,0.0013339305187723945
28.5,0.0028939372015627262,0.0020641844524069168
29.5,0.0043409058023440895,0.0022394453964792024
30.5,0.0021704529011720448,0.001996027418601028
31.5,0.009260599045000723,0.0010807758217790933
32.5,0.0050643901027347706,0.0030573298021498675
33.5,0.0031109824916799307,0.0005160461131017292
34.5,0.010056431775430473,0.0033396946564885495
35.5,0.0010852264505860224,0.0008081476865555383
36.5,0.000940529590507886,0.0009736719115126967
37.5,0.0006511358703516133,0.0010613023835488395
38.5,0.004051512082187817,0.0007399906527496495
39.5,0.0012299233106641586,0.00034078516902944384
40.5,0.0013022717407032266,0.0016747156878018383
41.5,0.0021704529011720448,0.0006426234615983798
42.5,0.0018087107509767038,0.000593939866022745
43.5,0.0014469686007813631,0.0012852469231967596
44.5,0.006800752423672406,0.0010028820688580775
45.5,0.001881059181015772,0.00022394453964792025
46.5,0.005715525973086384,0.00041867892195045957
47.5,0.006149616553320793,0.0002044711014176663
48.5,0.0024598466213283173,0.0015481383393051878
49.5,0.0019534076110548403,0.001197616451160617
